Record ID,Paper ID,Year,species name,taxon,population,study coordinates,population type,study type,sex,age,# id/pedigree,# records,# id w records,# sires,# dams,# families,depth of ped,trait name,trait category,Mean standardized,Trait mean,Variance standardized,Trait SD,treatment/group,fixed eff of partner trait,other fixed eff,Mean group size,VA,V IGE,VPE (foc),VPE (soc),V other 1,V other 2,V other 3,V other 4,V other 5,V other 6,V residual,Total V phen,h2,social_h2,r A-IGE,r PE-PE(S),cov A-IGE,cov  PE-PE(S),V_tbv,T2,data location,Screener ID,notes,Second-Screener ID,Second-Screener notes,excluded_during_data_extraction,Decision,changes_after_second_screening,final comments,data_transf,trait_mean_transf,trait_error_distrib,estimates_scale_nongauss,vp_group_formula
,IGE0348,1975-2012,Melospiza melodia,birds,"Mandarte Island, BC, Canada",NA,wild,observational,F,ad,666,944,250,130,141,NA,NA,female liability for extra-pair reproduction,reproduction,No,NA,No,NA,NA,yes,yes,2,1.54,0.48,0.31,0.15,0.24,0.75,0.04,NA,NA,NA,3,9.74,0.16,NA,NA,NA,0.18,NA,1.66,0.17,Table 3; text pg 2366,AST,"binomial model (latent scale); fixed eff of partner trait = male inbreeding coeff and male age; pedigree from 1975-1992 was only social but was anyway used for the analyses (see supplements); data-scale heritabilities provided (see equation in pg 2363); V other 1 = pair ID, V other 2 = pair-year id, V other 3 = year id; #sires and #dams used despite being reported for a database that includes 4 more females than those used in the analysis (i.e. 250). We considered this to be too small of a difference to contact the authors about it.",DF,"Trait mean = 0.058, SD = 0.044 (table 1). IMO #sires = 130, # dams = 141 (from supp mat), N/A for # families. Total VP = 9.74.",no,Revise,"Total V phen changed from NA to 9.74; #sires and #dams changed to 130 and 141, respectively, even though they refer to a slightly larger database (254 females vs 250 females included in final analyses); #families changed to NA; depth of ped changed to NA",,non_transf,NA,binomial_logit,latent,yes
,IGE0199,NA,Chorthippus biguttulus,arthropods,NA,NA,semicaptive,experimental,F,ad,935,6413,396,64,93,NA,1,egg length,reproduction,No,3.5,No,8.008,NA,no,yes,2,0.043,0.003,NA,NA,0.043,0.022,0.033,NA,NA,NA,0.074,NA,0.2,0.01,NA,NA,NA,NA,NA,NA,Table 1; text pg 335,AST,"# id/pedigree calculated as the number of females + males + max(sires) + max(dams), meaning that it might be underestimated; # id w records set to 396 instead of 412 because only 396 survived until the last day of the experiment; Trait mean and SD for the start of the experiment, be aware it increases over the experiment by 0.042 (se=0.002) mm/week; Trait SD calculated from reported SE as sd = se*sqrt(6413). V other 1 = Cohort, V other 2 = Mating pair id, V other 3 = Egg pod id; estimates extracted for the full 15-day period, although the authors also provide an estimate for each day (i.e. 15 estimates) in Figure 2",DF,"63 sires, 93 dams, 280 families",no,Revise,"#sires and #dams changed to 63 and 94, respectively; #families changed to NA; depth of pedigree changed to 1 because only F1 available",,non_transf,NA,gaussian,NA,NA
,IGE0199,NA,Chorthippus biguttulus,arthropods,NA,NA,semicaptive,experimental,F,ad,935,1062,396,64,93,NA,1,egg number,reproduction,No,6.933,No,14.86,NA,no,yes,2,0.783,0.071,NA,NA,0.836,1.449,NA,NA,NA,NA,3.41,NA,0.12,0.01,NA,NA,NA,NA,NA,NA,Table 1; text pg 337,AST,"# id/pedigree calculated as the number of females + males + max(sires) + max(dams), meaning that it might be underestimated; # id w records set to 396 instead of 412 because only 396 survived until the last day of the experiment; Trait mean and SD for the start of the experiment, be aware it decreases over the experiment by -0.560 (se=0.016) eggs/week; Trait SD calculated from reported SE as sd = se*sqrt(1062); V other 1 = Cohort, V other 2 = Mating pair id; estimates extracted for the full 15-day period, although the authors also provide an estimate for each day (i.e. 15 estimates) in Figure 2",DF,"63 sires, 93 dams, 280 families",no,Revise,"#sires and #dams changed to 63 and 94, respectively; #families changed to NA; depth of pedigree changed to 1 because only F1 available",,non_transf,NA,gaussian,NA,NA
,IGE0199,NA,Chorthippus biguttulus,arthropods,NA,NA,semicaptive,experimental,F,ad,935,1062,396,64,93,NA,1,egg pod length,reproduction,No,9.285,No,5.182,NA,no,yes,2,0.542,0.088,NA,NA,0.042,0.223,NA,NA,NA,NA,1.766,NA,0.2,0.03,NA,NA,NA,NA,NA,NA,Table 1; text pg 337,AST,"# id/pedigree calculated as the number of females + males + max(sires) + max(dams), meaning that it might be underestimated; # id w records set to 396 instead of 412 because only 396 survived until the last day of the experiment; Trait mean and SD for the start of the experiment, be aware it decreases over the experiment by -0.273 (se=0.012) mm/week; Trait SD calculated from reported SE as sd = se*sqrt(1062); V other 1 = Cohort, V other 2 = Mating pair id; estimates extracted for the full 15-day period, although the authors also provide an estimate for each day (i.e. 15 estimates) in Figure 2",DF,"63 sires, 93 dams, 280 families",no,Revise,"#sires and #dams changed to 63 and 94, respectively; #families changed to NA; depth of pedigree changed to 1 because only F1 available",,non_transf,NA,gaussian,NA,NA
,IGE0199,NA,Chorthippus biguttulus,arthropods,NA,NA,semicaptive,experimental,F,ad,935,396,396,64,93,NA,1,egg pod number,reproduction,No,2.5,No,1.393,NA,no,yes,2,0.004,0.004,NA,NA,0.029,0.33,NA,NA,NA,NA,0.004,NA,0.01,0.01,NA,NA,NA,NA,NA,NA,Table 1; text pg 338,AST,"poisson model (latent scale); # id/pedigree calculated as the number of females + males + max(sires) + max(dams), meaning that it might be underestimated; data-scale heritability extracted (see pg 335 and 338); # id w records set to 396 instead of 412 because only 396 survived until the last day of the experiment; Trait SD calculated from reported SE as sd = se*sqrt(396); V other 1 = Cohort, V other 2 = observation id; estimates extracted for the full 15-day period, although the authors also provide an estimate for each day (i.e. 15 estimates) in Figure 2",DF,"63 sires, 93 dams, 280 families. Include additional V other of 0.33 for Poisson variance?",no,Revise,"#sires and #dams changed to 63 and 94, respectively; #families changed to NA; depth of pedigree changed to 1 because only F1 available",,non_transf,NA,poisson_loglink,link,NA
,IGE0199,NA,Chorthippus biguttulus,arthropods,NA,NA,semicaptive,experimental,F,ad,935,396,396,64,93,NA,1,latency to first egg pod,reproduction,No,5.04,No,3.184,NA,no,no,2,0.056,0.022,NA,NA,0.374,0.18,NA,NA,NA,NA,0.094,NA,0.07,0.03,NA,NA,NA,NA,NA,NA,Table 1; text pg 338,AST,"poisson model (latent scale); # id/pedigree calculated as the number of females + males + max(sires) + max(dams), meaning that it might be underestimated; data-scale heritability extracted (see pg 335 and 338); # id w records set to 396 instead of 412 because only 396 survived until the last day of the experiment; Trait SD calculated from reported SE as sd = se*sqrt(396); V other 1 = Cohort, V other 2 = observation id",DF,"63 sires, 93 dams, 280 families. Include additional V other of 0.18 for Poisson variance?",no,Revise,"#sires and #dams changed to 63 and 94, respectively; #families changed to NA; depth of pedigree changed to 1 because only F1 available",,non_transf,NA,poisson_loglink,link,NA
,IGE0857,1994-2011,Aegithalos caudatus,birds,"Rivelin Valley, Sheffield, UK","53°23' N, 1°34' W",wild,observational,both,ad,NA,2800,344,NA,NA,NA,NA,feeding rates,behaviour,No,NA,No,NA,NA,no,yes,2.8,0.033,0,0,0,0.01,0.058,0.102,NA,NA,NA,0.344,0.809,NA,NA,NA,NA,NA,NA,NA,NA,Table S1; text pg 6,AST,"feeding rates were square-root transformed; V other 1 = nest id, V other 2 = focal bird-year id, V other 3 = social bird-year id; social effects variances have been multiplied by average group size (see Main Text); Mean group size set to 2.8 because the authors report ""The mean number of birds provisioning each nest was 2.8 (range 2–7)""; the proportions provided for social effects are based on dividing by phenotypic variance expect residual variance, and therefore, were not extracted",DF,"id w records is 344, I think we still want to include those birds who were only helpers? r A-IGE is not reported, they report the direct-indirect curent environment correlation as -0.25. I don't think we can use ith as the permanent environment correlation either.",no,Revise,r A-IGE changed from -0.25 to NA; #id w records changed to 344,,sqrt,NA,gaussian,NA,yes
,IGE0506,2009-2011,Oreochromis niloticus,fish,"Jitra Aquaculture Extension Center, Kedah, Malaysia",NA,captive,experimental,both,ad,37670,6330,6330,NA,NA,NA,10,harvest weight,morphology,No,166,No,58.97,NA,yes,yes,16,0.036,0.00007,NA,NA,0.016,0.01,NA,NA,NA,NA,0.04,0.103,NA,NA,-0.38,NA,NA,NA,0.033,0.32,Abstract; text pg 2; Table 3,AST,"conference paper, later published as IGE0380, therefore, should be EXCLUDED!!!; Year assigned as 2009-2011 because year 2012 was excluded from the analyses; depth of ped = 13 because they combined 10 generation data from the population + the three generations included here; harvest weight was transformed to natural logarithm; fixed eff of partner trait set to yes because one fixed effect is social age at harvest; V other 1 = group effects, V other 2 = non-genetic kin effects",DF,not screened,yes,,,,NA,NA,NA,NA,NA
,IGE1023,NA,Gallus gallus,birds,Hendrix Genetics,NA,captive,experimental,F,ad,NA,6092,6092,NA,NA,NA,NA,days from start of laying to death/end of experiment,survival,No,NA,No,NA,line W1,no,yes,4,705,104,NA,NA,799,NA,NA,NA,NA,NA,7980,NA,NA,NA,NA,NA,59,NA,1996,NA,Table 6,AST,V other 1 = cage id,DF,Population = Hendrix Genetics white leghorns,no,Accept,population changed from NA to Hendrix Genetics,,non_transf,NA,gaussian,NA,NA
,IGE1023,NA,Gallus gallus,birds,Hendrix Genetics,NA,captive,experimental,F,ad,NA,6852,6852,NA,NA,NA,NA,days from start of laying to death/end of experiment,survival,No,NA,No,NA,line WB,no,yes,4,1404,232,NA,NA,1191,NA,NA,NA,NA,NA,12675,NA,NA,NA,NA,NA,-162,NA,2521,NA,Table 6,AST,V other 1 = cage id,DF,Population = Hendrix Genetics white leghorns,no,Accept,population changed from NA to Hendrix Genetics,,non_transf,NA,gaussian,NA,NA
