Record ID,Paper ID,Year,species name,taxon,population,study coordinates,population type,study type,sex,age,# id/pedigree,# records,# id w records,# sires,# dams,# families,depth of ped,trait name,trait category,Mean standardized,Trait mean,Variance standardized,Trait SD,treatment/group,fixed eff of partner trait,other fixed eff,Mean group size,VA,V IGE,VPE (foc),VPE (soc),V other 1,V other 2,V other 3,V other 4,V other 5,V other 6,V residual,Total V phen,h2,social_h2,r A-IGE,r PE-PE(S),cov A-IGE,cov  PE-PE(S),V_tbv,T2,data location,Screener ID,notes,Second-Screener ID,Second-Screener notes,excluded_during_data_extraction,Decision,changes_after_second_screening,final comments,data_transf,trait_mean_transf,trait_error_distrib,estimates_scale_nongauss,vp_group_formula
1,IGE0347,1993,Gallus gallus,birds,"White Leghorns, Denmark",NA,captive,experimental,F,juv,310,310,310,20,88,NA,2,Performing feather pecks 6 weeks,behaviour,No,NA,No,NA,NA,no,yes,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.15,0.6,NA,NA,NA,NA,NA,Table 2; Table 3,DF,"Originally I calculated the trait means myself as total number each / number of birds (Table 1). However, since they log the trait values then the mean of analysed variables is not this, nor is it simply the log of the mean. So have entered NA. I used the correlation with ""performing"" the same trait as the est of the A-IGE correlation",MM,"MM: 1) log-transformed response variables, 2) Fixed effects included: ""bi is the vector of fixed effects of the general mean and the time of investigation for the ith trait"", 3) Im not sure it is correct to use COVa for performing and receiving, because in that case, we should consider DGE=h2 of performing, IGE=h2 of receiving, and now you only collected data for receiving
",no,Revise,"changed ""other fixed effects"" to yes. Renamed variables as ""performing"" rather than receiving. Set trait mean as ""NA"" as we don't know what the mean of the logged values would have been. Enter values for performing pecks as h2 and receiving pecks as the social heritability ",,log,NA,gaussian,NA,NA
2,IGE0347,1993,Gallus gallus,birds,"White Leghorns, Denmark",NA,captive,experimental,F,juv,310,310,310,20,88,NA,2,Performing bouts of feather pecks 6 weeks,behaviour,No,NA,No,NA,NA,no,yes,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0.15,0.21,NA,NA,NA,NA,NA,Table 2; Table 3,DF,"Originally I calculated the trait means myself as total number each / number of birds (Table 1). However, since they log the trait values then the mean of analysed variables is not this, nor is it simply the log of the mean. So have entered NA. I used the correlation with ""performing"" the same trait as the est of the A-IGE correlation",MM,"MM: 1) log-transformed response variables, 2) Fixed effects included: ""bi is the vector of fixed effects of the general mean and the time of investigation for the ith trait"", 3) Im not sure it is correct to use COVa for performing and receiving, because in that case, we should consider DGE=h2 of performing, IGE=h2 of receiving, and now you only collected data for receiving",no,Revise,"changed ""other fixed effects"" to yes. Renamed variables as ""performing"" rather than receiving. Set trait mean as ""NA"" as we don't know what the mean of the logged values would have been. Enter values for performing pecks as h2 and receiving pecks as the social heritability ",,log,NA,gaussian,NA,NA
3,IGE0347,1993,Gallus gallus,birds,"White Leghorns, Denmark",NA,captive,experimental,F,juv,304,304,304,20,88,NA,2,Performing feather pecks 38 weeks,behaviour,No,NA,No,NA,NA,no,yes,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0,NA,NA,NA,NA,NA,NA,Table 2; Table 3,DF,"Originally I calculated the trait means myself as total number each / number of birds (Table 1). However, since they log the trait values then the mean of analysed variables is not this, nor is it simply the log of the mean. So have entered NA. I used the correlation with ""performing"" the same trait as the est of the A-IGE correlation",MM,"MM: 1) log-transformed response variables, 2) Fixed effects included: ""bi is the vector of fixed effects of the general mean and the time of investigation for the ith trait"", 3) are they really juvenile at 38 weeks?, 4) Im not sure it is correct to use COVa for performing and receiving, because in that case, we should consider DGE=h2 of performing, IGE=h2 of receiving, and now you only collected data for receiving",no,Revise,"changed ""other fixed effects"" to yes. Renamed variables as ""performing"" rather than receiving. Set trait mean as ""NA"" as we don't know what the mean of the logged values would have been. Enter values for performing pecks as h2 and receiving pecks as the social heritability ",,log,NA,gaussian,NA,NA
4,IGE0347,1993,Gallus gallus,birds,"White Leghorns, Denmark",NA,captive,experimental,F,juv,304,304,304,20,88,NA,2,Performing bouts of feather pecks 38 weeks,behaviour,No,NA,No,NA,NA,no,yes,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0,NA,NA,NA,NA,NA,NA,Table 2; Table 3,DF,"Originally I calculated the trait means myself as total number each / number of birds (Table 1). However, since they log the trait values then the mean of analysed variables is not this, nor is it simply the log of the mean. So have entered NA. I used the correlation with ""performing"" the same trait as the est of the A-IGE correlation",MM,"MM: 1) log-transformed response variables, 2) Fixed effects included: ""bi is the vector of fixed effects of the general mean and the time of investigation for the ith trait"",  3) are they really juvenile at 38 weeks?, 4) Im not sure it is correct to use COVa for performing and receiving, because in that case, we should consider DGE=h2 of performing, IGE=h2 of receiving, and now you only collected data for receiving
",no,Revise,"changed ""other fixed effects"" to yes. Renamed variables as ""performing"" rather than receiving. Set trait mean as ""NA"" as we don't know what the mean of the logged values would have been. Enter values for performing pecks as h2 and receiving pecks as the social heritability ",,log,NA,gaussian,NA,NA
5,IGE0347,1993,Gallus gallus,birds,"White Leghorns, Denmark",NA,captive,experimental,F,juv,253,253,253,20,88,NA,2,Performing feather pecks 69 weeks,behaviour,No,NA,No,NA,NA,no,yes,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,0.04,-0.17,NA,NA,NA,NA,NA,Table 2; Table 3,DF,"Originally I calculated the trait means myself as total number each / number of birds (Table 1). However, since they log the trait values then the mean of analysed variables is not this, nor is it simply the log of the mean. So have entered NA. I used the correlation with ""performing"" the same trait as the est of the A-IGE correlation",MM,"MM: 1) log-transformed response variables, 2) Fixed effects included: ""bi is the vector of fixed effects of the general mean and the time of investigation for the ith trait"", 3) different group size ""each group of 20 birds"",  4) are they really juvenile at 69 weeks?, 5) Im not sure it is correct to use COVa for performing and receiving, because in that case, we should consider DGE=h2 of performing, IGE=h2 of receiving, and now you only collected data for receiving
",no,Revise,"changed ""other fixed effects"" to yes. Renamed variables as ""performing"" rather than receiving. Set trait mean as ""NA"" as we don't know what the mean of the logged values would have been. Enter values for performing pecks as h2 and receiving pecks as the social heritability ",,log,NA,gaussian,NA,NA
6,IGE0347,1993,Gallus gallus,birds,"White Leghorns, Denmark",NA,captive,experimental,F,juv,253,253,253,20,88,NA,2,Performing bouts of feather pecks 69 weeks,behaviour,No,NA,No,NA,NA,no,yes,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,0,NA,NA,NA,NA,NA,NA,Table 2; Table 3,DF,"Originally I calculated the trait means myself as total number each / number of birds (Table 1). However, since they log the trait values then the mean of analysed variables is not this, nor is it simply the log of the mean. So have entered NA. I used the correlation with ""performing"" the same trait as the est of the A-IGE correlation",MM,"MM: 1) log-transformed response variables, 2) Fixed effects included: ""bi is the vector of fixed effects of the general mean and the time of investigation for the ith trait"", 3) different group size ""each group of 20 birds"", 4) are they really juvenile at 69  weeks? 5) Im not sure it is correct to use COVa for performing and receiving, because in that case, we should consider DGE=h2 of performing, IGE=h2 of receiving, and now you only collected data for receiving
",no,Revise,"changed ""other fixed effects"" to yes. Renamed variables as ""performing"" rather than receiving. Set trait mean as ""NA"" as we don't know what the mean of the logged values would have been. Enter values for performing pecks as h2 and receiving pecks as the social heritability ",,log,NA,gaussian,NA,NA
7,IGE0598,2001-2007,Sus scrofa,mammals,"Institute of Pig Genetics, Netherlands",NA,captive,experimental,both,juv,17053,15602,15602,435,542,NA,5,average daily gain,development,No,251,Yes,61.18,NA,no,yes,10.8,0.071,0.0007,0.035,NA,0.058,0.053,0.089,NA,NA,NA,2286,3340,0.071,0.0007,-0.27,NA,NA,NA,0.147,0.147,Table 4,DF,"Table 4 gives lots of things after dividing by VP, so have multiplied by VP and given that value in the cell. V1 other is maternal genetic, V2 other is litter effect, V3 other is group (foster mum) effect. 49645 animals in pedigree, but 17053 piglets in actual dataset analysed.",MM,"MM: we need to take into account to some of us didn't do the calculations with the info available at the paper.

",no,Accept,"Added value for social heritability. Now updated all variance components to give what they reported in Table 4, and changed ""Variance standardised"" to Y. Have left trait SD, residual variance, and phenotypic variance as they were, which menas that VA/VP would be tiny. But seems consistent with what we discussed",,non_transf,NA,gaussian,NA,yes
8,IGE0824,NA,Drosophila melanogaster,insects,Dahomey stock,NA,captive,experimental,F,ad,1139,1011,1011,16,48,48,1,oviposition pre mating,reproduction,No,38.62,No,15.7,NA,no,yes,NA,119.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252.91,0.47,NA,NA,NA,NA,NA,NA,0.47,Tables 1 & 2,DF,Note experiment was run in two blocks so summing numbers from each to get total samplesizes etc. I haven't included their analysis of post|pre given those traits are analysed independently,MM,"MM: 1)group size =NA, because it is before mating with a male, 2) V ige, h2 male, COV dge-ige, r dge-ige = NA, not zero because it was not estimated


",no,Revise,"Changed group size, V ige, COV dge-ige, & r dge-ige to NA. Set social heritability as NA",,non_transf,NA,gaussian,NA,yes
9,IGE0824,NA,Drosophila melanogaster,insects,Dahomey stock,NA,captive,experimental,F,ad,1139,1092,1092,16,48,48,1,oviposition post mating,reproduction,No,82.87,No,17.26,NA,no,yes,2,101.37,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,290.96,0.35,0.004,-0.09,NA,-0.94,NA,NA,0.35,Tables 1 & 2,DF,Note experiment was run in two blocks so summing numbers from each to get total samplesizes etc. I haven't included their analysis of post|pre given those traits are analysed independently. They report male h2 as 0.004 which is IGE heritability.,MM,"MM: 1) to consider, I wrote NA to group size of 2, as this is the minimum and dont considered it as a group per se, 2) there is info on h2 male that we might want to use
",no,Revise,Entered male h2 as social heritability,,non_transf,NA,gaussian,NA,yes
10,IGE0824,NA,Drosophila melanogaster,insects,Dahomey stock,NA,captive,experimental,F,ad,1139,1094,1094,16,48,48,1,copulation duration,reproduction,No,18.15,No,4.03,NA,no,yes,2,1.33,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.88,0.08,0.13,-0.13,NA,-0.21,NA,NA,0.18,Tables 1 & 2,DF,Note experiment was run in two blocks so summing numbers from each to et total samplesizes getc. I haven't included their analysis of post|pre given those traits are analysed independently. They report male h2 as 0.13 which is IGE heritability.,MM,"MM: to consider, I wrote NA to group size of 2, as this is the minimum and dont considered it as a group per se, 2) there is info on h2 male that we might want to use
",no,Revise,Entered male h2 as social heritability,,non_transf,NA,gaussian,NA,yes
