Record ID,Paper ID,Year,species name,taxon,population,study coordinates,population type,study type,sex,age,# id/pedigree,# records,# id w records,# sires,# dams,# families,depth of ped,trait name,trait category,Mean standardized,Trait mean,Variance standardized,Trait SD,treatment/group,fixed eff of partner trait,other fixed eff,Mean group size,VA,V IGE,VPE (foc),VPE (soc),V other 1,V other 2,V other 3,V other 4,V other 5,V other 6,V residual,Total V phen,h2,social_h2,r A-IGE,r PE-PE(S),cov A-IGE,cov  PE-PE(S),V_tbv,T2,data location,Screener ID,notes,Second-Screener ID,Second-Screener notes,excluded_during_data_extraction,Decision,changes_after_second_screening,final comments,data_transf,trait_mean_transf,trait_error_distrib,estimates_scale_nongauss,vp_group_formula
1,IGE0502,2001-2011,Bos taurus (Aosta Chestnut and Aosta Black Pied breeds),mammals,"Aosta Region, Italy",NA,captive,experimental,F,ad,17579,25590,8159,NA,NA,NA,NA,social dominance,behaviour,No,0.5,No,NA,NA,yes,yes,2,0.276,0.224,0.196,0.127,NA,NA,NA,NA,NA,NA,NA,NA,0.265,0.215,-0.976,NA,-0.243,-0.15,NA,0.014,Table 2 (model 4); Table 3 (model 4),FS,"trait mean could be 0.5 since it's dominance (0/1); fixed effect of social: difference in age between the focal individual and the
opponent expressed in categories; variance components estimated on a liability scale so they may need to be transformed? model with Bernoulli distribution with probability logit.
Correlation estimates: both tables 2 and 3 report what they call correlations between direct and indirect effect from the same model (m4), but values differ. Table 2 may be the covariance, but it is not clear. There is also some inconsitency int the footnotes calling Pe sometimes permanent environment and sometimes phenotypic. Needs to be checked by another reviewer. Also note that h2 is estimated on VP that also includes covariances (see Table 3 footnotes). ",DF,"Agree trait mean can be 0.5. group size is 2. i would use the variance components, there are a few papers that do this and AFAIK we are just sing them rather than worying about latent or liability scale or whatever. I think they report covariance in Table 2 (see symbol they use) and then correlations in the text. So cov A-IGE is -0.243, cov PE-PE (S) is -0.150, r A-IGE is -0.976. r PE-PE(S) is not reported I think as Fra notes the value in Table 3 includes the genetic cov. We can calc it from Table 2 though. ",no,Revise,"added trait mean, group size, rA-IGE, covA-IGE, covPE-PE(S), social heritability","fixed effect of social: difference in age between the focal individual and the
opponent expressed in categories; 
variance components estimated on a liability scale (model with Bernoulli distribution with probability logit);
h2 is estimated on VP that also includes covariances (see Table 3 footnotes). ",non_transf,NA,bernoulli_logit,liability,NA
2,IGE0197,NA,Tribolium castaneum,arthropods,"Wageningen, the Netherlands.",NA,captive,experimental,both,juv,5987,4932,4932,2657,2657,126,3,growth rate,development,No,2.32,No,0.5,NA,yes,yes,10,0.0000547,0.000000125,NA,NA,0.00000274,NA,NA,NA,NA,NA,NA,0.000109,0.48,NA,-0.201,NA,-0.000000527,NA,0.0000553,0.51,Table 6 (model 3),FS,"#id w records is conservative (reported 5687 id with incomplete records in 3 traits, and 4932 with all); id in pedigree are reported in supmat but methods also say they include id with no pedigree, so not sure; means and SD for traits are reported in table 2 for the two pop separately; fixed effect of social is social sex effect (# male partners in vial); V other 1 is group; heritability is estimated in a different model (model 2)",DF,"group size = mostly 10. Depth of ped = 3 perhaps, see Table A1. id in ped = 5987 based on summing numbers in Table A1. Also have # sires as 2657 and # dams as 2657. Don't think we should use the h2 est from table 5 as it is a different model.  cov A-IGE is -0.000000527, r A-IGE is -0.201 (Table 6).",no,Revise,"updated group size, depth of ped, # id in ped, sires, dams,  cov A-IGE and r A-IGE, h2 set to NA, mean and SD of pop trait estimated from the two separated by pop ","#id w records is conservative (reported 5687 id with incomplete records in 3 traits, and 4932 with all); means and SD for traits are reported in table 2 for the two pop separately, so calculated with formula; fixed effect of social is social sex effect (# male partners in vial); V other 1 is group; heritability is estimated in a different model (model 2) without IGEs, as = 0.48",non_transf,NA,gaussian,NA,NA
3,IGE0291,2000-2003,Sus scrofa,mammals,"Pig Improvement Company, Franklin, KY, US",NA,captive,experimental,both,ad,43585,11235,11235,770,3850,NA,NA,average daily gain (ADG),development,No,991.5,No,120.5,NA,no,yes,15,2410,18,NA,126,971,NA,NA,NA,NA,NA,6916,NA,0.2,0.001,NA,NA,48,NA,NA,NA,Table 2 (model 4),FS,"# dams is based on 770 sires having 5 dams on average; formula for estimating VP is provided in Table 2 caption; Model 4 was chosen because it also reports VPE soc and likelihood of models and estimates are similar, I didn't pick the best fitting model because it did not estimate most of the variances; V other 1 is litter ",DF,"Calc VP as 12313, seems worth entering otherwise we might miss it if I record this as ""Accept""",no,Revise,added h2_social,"formula for estimating VP is provided in Table 2 caption (includes covariances and group size);
Model 4 was chosen because it also reports VPE soc and likelihood of models and estimates are similar, I didn't pick the best fitting model because it did not estimate most of the variances; 
V other 1 is litter ",non_transf,NA,gaussian,NA,yes
4,IGE0243,1999-2005,Sus scrofa,mammals,University of Nebraska Agricultural Research Development Center Swine Research Farm,NA,captive,experimental,both,ad,61151,3524,3524,NA,NA,NA,25,final body weight (BW),morphology,No,93.43,No,12.09,NA,no,yes,11-Sep,45.7,0.1,NA,0,4.5,8.2,NA,NA,NA,NA,55,117.7,0.388,0,0.07,NA,0.2,NA,55.7,NA,Table 1 (model 1),FS,"age not specified by authors, looked online what is considered adult; says lines have been developed for 25 yrs but not clear whether that can be used for depth of pedigree; chosen model is the most complete (to have all estimates) but not the best; V other 1 is litter mates (could this be also considered permanent environment?); they also provide ige/vp = 0.001",DF,"Depth of ped  = 25. They give variance attributed to pen effects but I don't think we should use this as focal VPE, instead it should be v other 1 and make litter var V other 2.",no,Revise,"added h2_social, added pedigree depth, updated v other 1 and v other 2, VPE to NA","chosen model is the most complete (to have all estimates) but not the best;
V other 1 is pen; 
v other 2 is litter mates ",non_transf,NA,gaussian,NA,yes
5,IGE0243,1999-2005,Sus scrofa,mammals,University of Nebraska Agricultural Research Development Center Swine Research Farm,NA,captive,experimental,both,ad,61151,3512,3512,NA,NA,NA,25,backfat depth,morphology,No,2.1,No,0.5,NA,no,yes,11-Sep,0.0972,0.0002,NA,NA,0.0066,0.0065,NA,NA,NA,NA,0.0952,0.214,0.453,0.001,0.078,NA,0.0002,NA,0.118,NA,Table 2 (model 2),FS,"age not specified by authors, looked online what is considered adult; says lines have been developed for 25 yrs but not clear whether that can be used for depth of pedigree; chosen model is the most complete (to have all estimates) but not the best; V other 1 is litter mates (could this be also considered ;permanent environment?); they also provide ige/vp = 0.001",DF,"Depth of ped  = 25. They give variance attributed to pen effects but I don't think we should use this as focal VPE, instead it should be v other 1 and make litter var V other 2.",no,Revise,"added h2_social, added pedigree depth, updated v other 1 and v other 2, VPE to NA","chosen model is the most complete (to have all estimates) but not the best;
V other 1 is pen; 
v other 2 is litter mates ",non_transf,NA,gaussian,NA,yes
6,IGE0243,1999-2005,Sus scrofa,mammals,University of Nebraska Agricultural Research Development Center Swine Research Farm,NA,captive,experimental,both,ad,61151,3512,3512,NA,NA,NA,25, longissimus muscle area (LM),morphology,No,30.75,No,4.31,NA,no,yes,11-Sep,4.02,0.01,NA,NA,1.2,0.7,NA,NA,NA,NA,8.56,14.1,0.285,0.001,-0.628,NA,-0.15,NA,4.406,NA,Table 3 (model 2),FS,"age not specified by authors, looked online what is considered adult; says lines have been developed for 25 yrs but not clear whether that can be used for depth of pedigree; chosen model is the most complete (to have all estimates) but not the best; V other 1 is litter mates (could this be also considered permanent environment?)",DF,"Depth of ped  = 25. They give variance attributed to pen effects but I don't think we should use this as focal VPE, instead it should be v other 1 and make litter var V other 2.",no,Revise,"added h2_social, added pedigree depth, updated v other 1 and v other 2, VPE to NA","chosen model is the most complete (to have all estimates) but not the best;
V other 1 is pen; 
v other 2 is litter mates ",non_transf,NA,gaussian,NA,yes
7,IGE0458,2012-2016,Ficedula albicollis,birds,"Gotland, Sweden","57◦03 ′ N, 18◦18′ E",wild,observational,F,ad,2623,1005,NA,NA,NA,NA,15,nesting site preference,behaviour,No,NA,No,NA,NA,yes,yes,2,0.004,0.008,0.003,0.004,0.007,0.007,0.015,0.01,0.177,0.009,10,NA,0.0005,0.0002,NA,NA,NA,NA,NA,0.0013,Table 3,FS,"study type: i chose observational because while they experimentally manipulate preference, social partners choice is not manipulated (birds choose their own mates) which is what we are interested in; they look at joint effects of partners on a pairs trait (nest choice), in this case I arbitrary chose the female to be the focal and the males to be the social to keep consistency with other breeding traits in other studies; id/pedigree is pruned; # of records: doesn't say how many individuals repeated across years, we could go conservative and put the same # of ids (or use the effective sample size of the models?), I left NA at the moment.; fixed effects of social: status (see table 1); v others provided (in order): dominance female, dominance male, maternal female, maternal male, year, nestbox; note that variances are on the latent link scale and h2 is on the liability scale; VR was fixed to 10 by the authors; this model does not present the cross sex genetic covariance (i.e. VA-VIGE cov) because it was removed as not different from zero (see text); VIGE/VP is also provided as 0.0002",DF,"# records = 1005, I do not think they report # IDs w records (which would be # unique females). group size = 2. Not sure about settting the r and cov A-IGE to 0 given it was non-sig; we have recorded the actual value for other studies when they report it as NS if they give it. Is trait mean 0.506, as % copying is 50.6 (Table 2).",no,Revise,"added h2_social, adeed group size, updated # records and id/records, r and cov DGE-IGE set to NA ","they look at joint effects of partners on a pairs trait (nest choice), in this case I arbitrary chose the female to be the focal and the males to be the social to keep consistency with other breeding traits in other studies; 
id/pedigree is pruned; fixed effects of social: status (see table 1); 
v others provided (in order): dominance female, dominance male, maternal female, maternal male, year, nestbox; 
variances are on the latent link scale and h2 is on the liability scale; VR was fixed to 10 by the authors; ",non_transf,NA,binary_ordinal,liability,yes
8,IGE0057,2012,Litopenaeus vannamei,arthropods,"Hainan Higene Aquaculture Technology, Wenchang City, China","Longitude 110.952874, Latitude 19.937534",captive,experimental,both,ad,NA,4725,4725,100,91,105,2,body mass,morphology,No,26.88,No,4.38,NA,no,yes,45,5.06,0.00395,NA,NA,1.01,1.46,NA,NA,NA,NA,8.18,15.88,0.32,NA,0.02,NA,0.00309,NA,11.63,0.73,Table 2,FS,"info on pedigree (families, dams, sires) is taken only from G1 (gen of experiment); G0 is provided but individuals from G0 were also used for control pop, so to be conservative I only included G1; V other 1 is common env effects, V other 2 is test tank effect (see if any of these can be considered PE? I left PE empty). ",MM,"MM: I think the other variance components are not PE by themselves, so I would leave it like that
",no,Accept,NA,"info on pedigree (families, dams, sires) is taken only from G1 (gen of experiment): G0 is provided but individuals from G0 were also used for control pop, so to be conservative I only included G1; 
V other 1 is common env effects;
V other 2 is test tank effect ",non_transf,NA,gaussian,NA,yes
9,IGE0537,2012-2014,Oryctolagus cuniculus,mammals,"IRTA, Spain",NA,captive,experimental,both,ad,7701,3132,3132,NA,NA,NA,5,average daily gain (ADG),development,No,35.65,Yes,NA,restricted feeding (R),no,yes,8,0.033,0.0017,0.01,NA,0.025,0.066,NA,NA,NA,NA,NA,NA,0.033,0.0017,-0.505,NA,NA,NA,NA,0.064,Table 5,FS,"trait is measured after weaning so I considered them adults (not sure); there are 2x2 treatments but they are fitted as fixed effects and so there is only one model; mean is provided for the different categories: ""The overall means for ADG were equal
to 51.9 and 36.9 g/day for BS kits on F and R, respectively,
and 49.6 and 34.4 g/day for SS kits on F and R, respectively""; V other 1 is group and V other 2 is litter; authors do not provide varTBV but TBV: 3.601",MM,"MM: 1) same dataset as IGE0572?, 2) I agree with categorizing it as adult, 3) why don't include both treatments? Now you chose data from food-restricted only.  In text and table 5 they provide trait means, and DGE, IGE for both treatments separately ",no,Revise,"updated sample sizes and trait mean, adeed h2_social","V other 1 is group and V other 2 is litter; authors do not provide varTBV but TBV: 3.601; VP also provided 56.296; note that exact sample size is calculated assuming treatments are split equal as mentioned in text, same for mean of trait",non_transf,NA,gaussian,NA,NA
10,IGE0537,2012-2014,Oryctolagus cuniculus,mammals,"IRTA, Spain",NA,captive,experimental,both,ad,7701,3132,3132,NA,NA,NA,5,average daily gain (ADG),development,No,50.75,Yes,NA,full feeding (F),no,yes,8,0.082,0.0003,0.008,NA,0.023,0.071,NA,NA,NA,NA,NA,NA,0.082,0.0003,-0.03,NA,NA,NA,NA,0.095,Table 5,FS,NA,MM,"MM: 1) same dataset as IGE0572?, 2) I agree with categorizing it as adult, 3) why don't include both treatments? Now you chose data from food-restricted only.  In text and table 5 they provide trait means, and DGE, IGE for both treatments separately ",no,Revise,whole row of record added,"V other 1 is group and V other 2 is litter; authors do not provide varTBV but TBV: 7.484; VP also provided 78.415; note that exact sample size is calculated assuming treatments are split equal as mentioned in text, same for mean of trait",non_transf,NA,gaussian,NA,NA
