Record ID,Paper ID,Year,species name,taxon,population,study coordinates,population type,study type,sex,age,# id/pedigree,# records,# id w records,# sires,# dams,# families,depth of ped,trait name,trait category,Mean standardized,Trait mean,Variance standardized,Trait SD,treatment/group,fixed eff of partner trait,other fixed eff,Mean group size,VA,V IGE,VPE (foc),VPE (soc),V other 1,V other 2,V other 3,V other 4,V other 5,V other 6,V residual,Total V phen,h2,social_h2,r A-IGE,r PE-PE(S),cov A-IGE,cov  PE-PE(S),V_tbv,T2,data location,Screener ID,notes,Second-Screener ID,Second-Screener notes,excluded_during_data_extraction,Decision,changes_after_second_screening,final comments,data_transf,trait_mean_transf,trait_error_distrib,estimates_scale_nongauss,vp_group_formula
1,IGE1050,"1968-1983, 1986-2006",Larus canus,birds,"Matsalu National Park, Estonia",NA,wild,observational,F,ad,1142,10652,1916,NA,NA,NA,NA,laying date,reproduction,No,NA,No,NA,NA,yes,yes,2,4.52,1.49,1.29,1.55,10.58,NA,NA,NA,NA,NA,11.84,38.7,14.5,4.8,-0.53,NA,-1.38,NA,NA,NA,Table 1 model 7,MM,"Vother1=year, total phenotypic var calculated without fixed effects

2) social fixed effect = breeding experience

",FS,,,Accept,"changed mean group size to 2, added social h2","They report 2 Vp, one is Phenotypic variance in laying date prior to conditioning on the fixed effects (the one I wrote down) and the otehr is the sum of all variance components; Vother1=year",non_transf,NA,gaussian,NA,no
2,IGE0517,1975-2015,Melospiza melodia,birds,"Mandarte island, Canada",NA,wild,observational,F,ad,959,1419,358,NA,NA,NA,NA,divorce,behaviour,No,NA,No,NA,NA,yes,yes,2,0.07,0.08,0.22,0.08,0.15,0.07,NA,NA,NA,NA,NA,NA,0.04,0.04,NA,NA,-0.003,NA,NA,0.08,Table 1 model 2 for Va: supl material for info on pop,MM,"v1= social pair
v2=year

1) I extract posterior means, and differ quite a bit from posterior modes
2) considered females as the focal
3) social fixed effect = inbreeding coef

",AST,"depth of pedigree presumably 39 (see abstract); mean group size should be set to 2?; question: would it make sense to estimate trait mean based on the % of divorce reported, so that mean = 0.117 (i.e. mean(c(rep(0,1419-166),rep(1,166))))? That calculation may actually show that their sample size was smaller than they reported, actually, any thoughts?",no,Revise,"changed mean group size to 2, added social h2","trait mean could be calculated, Vp could be calculated but note that no residual variance is included in the calculation of VP for a threshold model with probit link,1) I extract posterior means, and differ quite a bit from posterior modes 2) considered females as the focal, v1= social pair v2=year",non_transf,NA,NA,liability,NA
3,IGE0483,NA,Gryllus bimaculatus,arthropods,laboratory at the Ludwig Maximilians University of Munich,NA,semicaptive,experimental,M,juv,1161,374,374,47,94,66,1,Aggression,behaviour,No,NA,No,NA,nymph low-density,no,no,2,0.11,0.03,0,0,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA,NA,-0.01,-0.01,0.12,NA,"Table S2 for va, Table S4 for totalVa",MM,"mean values and V 
estimates in log scale

I'm unsure about the pedigree stats, in total there are 1161 ID, numbers about IDs are not exact
",DF,"Change age to ""juv"". ID in pedigree = 1161? Move values for #records to ID with records. Mean group size is 2",no,Revise,"changed age to juv,  #pedigree to 1, changed age to juv, 1161, changed group size to 2, copied values for #records to ID with records. I changed to NA the mean valuees","V estimates in log scale, Fig 2 report mean values and also Table S1, but they are not readily extractable",log,NA,gaussian,NA,no
4,IGE0483,NA,Gryllus bimaculatus,arthropods,laboratory at the Ludwig Maximilians University of Munich,NA,semicaptive,experimental,M,ad,1161,636,636,47,94,66,1,Aggression,behaviour,No,NA,No,NA,Young adult low-density,no,no,2,0.03,0.05,0.05,0.03,NA,NA,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA,0.02,-0.004,0.12,NA,"Table S2 for va, Table S4 for totalVa",MM,"mean values and V 
estimates in log scale

I'm unsure about the pedigree stats, in total there are 1161 ID, numbers about IDs are not exact
",DF,"Change age to ""ad"". ID in pedigree = 1161? ID in pedigree = 1161? Move values for #records to ID with records. Mean group size is 2",no,Revise,"changed age to ad,  #pedigree to 1, changed age to juv, 1161, changed group size to 2, copied values for #records to ID with records.I changed to NA the mean valuees","V estimates in log scale, Fig 2 report mean values and also Table S1, but they are not readily extractable",log,NA,gaussian,NA,no
5,IGE0483,NA,Gryllus bimaculatus,arthropods,laboratory at the Ludwig Maximilians University of Munich,NA,semicaptive,experimental,M,ad,1161,470,470,47,94,66,1,Aggression,behaviour,No,NA,No,NA,old adult low-density,no,no,2,0.1,0.06,0.02,0.02,NA,NA,NA,NA,NA,NA,0.55,NA,NA,NA,NA,NA,0.03,-0.01,0.22,NA,"Table S2 for va, Table S4 for totalVa",MM,"mean values and V 
estimates in log scale

I'm unsure about the pedigree stats, in total there are 1161 ID, numbers about IDs are not exact
",DF,"Change age to ""ad"". ID in pedigree = 1161? ID in pedigree = 1161? Move values for #records to ID with records. Change mean to 0.0? Mean group size is 2",no,Revise,"changed age to ad,  #pedigree to 1, changed age to juv, 161, changed group size to 2, copied values for #records to ID with records. I changed to NA the mean values","V estimates in log scale, Fig 2 report mean values and also Table S1, but they are not readily extractable",log,NA,gaussian,NA,no
6,IGE0483,NA,Gryllus bimaculatus,arthropods,laboratory at the Ludwig Maximilians University of Munich,NA,semicaptive,experimental,M,juv,1161,359,359,47,94,66,1,Aggression,behaviour,No,NA,No,NA,nymph high-density,no,no,2,0.11,0.004,0,0,NA,NA,NA,NA,NA,NA,0.39,NA,NA,NA,NA,NA,-0.002,-0.001,0.1,NA,"Table S2 for va, Table S4 for totalVa",MM,"mean values and V 
estimates in log scale

I'm unsure about the pedigree stats, in total there are 1161 ID, numbers about IDs are not exact
",DF,"Change age to ""juv"". ID in pedigree = 1161? ID in pedigree = 1161? Move values for #records to ID with records. Change mean to -0.21? Mean group size is 2",no,Revise,"changed age to juv,  #pedigree to 1, changed age to juv, 161, changed group size to 2, copied values for #records to ID with records. I changed to NA the mean values","V estimates in log scale, Fig 2 report mean values and also Table S1, but they are not readily extractable",log,NA,gaussian,NA,no
7,IGE0483,NA,Gryllus bimaculatus,arthropods,laboratory at the Ludwig Maximilians University of Munich,NA,semicaptive,experimental,M,ad,1161,771,771,47,94,66,1,Aggression,behaviour,No,NA,No,NA,Young adult high-density,no,no,2,0.1,0.004,0.01,0,NA,NA,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA,-0.001,-0.001,0.11,NA,"Table S2 for va, Table S4 for totalVa",MM,"mean values and V 
estimates in log scale

I'm unsure about the pedigree stats, in total there are 1161 ID, numbers about IDs are not exact
",DF,"Change age to ""ad"". ID in pedigree = 1161? ID in pedigree = 1161? Move values for #records to ID with records. Change mea to 0.30? Mean group size is 2",no,Revise,"changed age to ad and  #pedigree to 1, changed age to juv, 161, changed group size to 2, copied values for #records to ID with records. I changed to NA the mean values","V estimates in log scale, Fig 2 report mean values and also Table S1, but they are not readily extractable",log,NA,gaussian,NA,no
8,IGE0483,NA,Gryllus bimaculatus,arthropods,laboratory at the Ludwig Maximilians University of Munich,NA,semicaptive,experimental,M,ad,1161,467,467,47,94,66,1,Aggression,behaviour,No,NA,No,NA,old adult high-density,no,no,2,0.2,0.001,0.13,0.02,NA,NA,NA,NA,NA,NA,0.49,NA,NA,NA,NA,NA,-0.002,0.05,0.2,NA,"Table S2 for va, Table S4 for totalVa",MM,"mean values and V 
estimates in log scale

I'm unsure about the pedigree stats, in total there are 1161 ID, numbers about IDs are not exact
",DF,"Change age to ""ad"". ID in pedigree = 1161? Move values for #records to ID with records. Change to -0.14? Mean group size is 2",no,Revise,"changed age to and #pedigree to 1, changed age to juv, 161, changed group size to 2, copied values for #records to ID with records. I changed to NA the mean valuees","V estimates in log scale, Fig 2 report mean values and also Table S1, but they are not readily extractable",log,NA,gaussian,NA,no
9,IGE0516,1974 - 1995,Cervus elaphus,mammals,"Isle of Rum, Scotland",NA,wild,observational,both,ad,1336,10517,1278,NA,NA,NA,NA,Social dominance,behaviour,No,NA,No,NA,NA,yes,yes,2,0.364,0.363,0.956,0.819,NA,NA,NA,NA,NA,NA,(pi^2)/3,NA,NA,NA,-0.913,-1.08,NA,NA,0.032,NA,"Table 1, model 4",MM,"residual v=0.103 but in observed scale. Variance components in latent scale. 

",FS,"trait mean is wrong, that number corresponds to the mean number of observations per individual; not sure age difference between two id can be considered a fixed effect of partner; ",no,Revise,"I changed trait mean to NA, age difference between two id can be considered a fixed effect of partner; changed mean group size to 2","residual v=0.103 but in observed scale. Variance components in lability scale., h2 from model without IGEs = 0.095",non_transf,NA,binomial_logit,liability,NA
10,IGE0203,2009,Gadus morhua,fish,"Tromso, Norway",NA,semicaptive,experimental,both,juv,2100,2058,2058,73,100,100,3,body weight at r2,morphology,No,42.17,No,13.8,NA,yes,yes,7,54.4,0.02,NA,NA,11.79,0,NA,NA,NA,NA,NA,178.7,NA,NA,0.31,NA,0.34,NA,76.77,0.43,"Table 1 for means, T5-7 for variances",MM,"V1=VARIANCE DUE TO COMMON REARING E
V2=variance of experimental tank
",FS,"check # sires and dams (it's different for the complete pedigree), as well as # of IDs in pedigree and ID w records",no,Revise,"checked pedigree, include info on pedigree for this study, not for the complete","V1=VARIANCE DUE TO COMMON REARING E, V2=variance of experimental tank,  h2 from model without IGEs = 0.33",non_transf,NA,gaussian,NA,yes
