"studyID","title","year","journal","volume","issue","pages","authors","url"
"IGE0017","A genome-wide association study of social genetic effects in Landrace pigs",2018,"ASIAN-AUSTRALASIAN JOURNAL OF ANIMAL SCIENCES",31,6,"784-790","Hong, Joon Ki and Jeong, Yong Dae and Cho, Eun Seok and Choi, Tae Jeong and Kim, Yong Min and Cho, Kyu Ho and Lee, Jae Bong and Lim, Hyun Tae and Lee, Deuk Hwan","10.5713/ajas.17.0440"
"IGE0057","An analysis of indirect genetic effects on adult body weight of the Pacific white shrimp Litopenaeus vannamei at low rearing density",2015,"GENETICS SELECTION EVOLUTION",47,NA,NA,"Luan, Sheng and Luo, Kun and Chai, Zhan and Cao, Baoxiang and Meng, Xianhong and Lu, Xia and Liu, Ning and Xu, Shengyu and Kong, Jie","10.1186/s12711-015-0164-y"
"IGE0144","Comparison between direct and competitive models to investigate variation of carcass and ham quality traits in heavy pigs",2013,"Agriculturae Conspectus Scientificus",78,3,"213-216","Rostellato, R. and Sartori, C. and Bonfatti, V. and Chiarot, G. and Carnier, P.",NA
"IGE0195","Direct and associative effects for androstenone and genetic correlations with backfat and growth in entire male pigs",2012,"Journal of Animal Science",90,8,"2465-2475","Duijvesteijn, N. and Knol, E.F. and Bijma, P.","10.2527/jas.2011-4625"
"IGE0196","Direct and indirect genetic and fine-scale location effects on breeding date in song sparrows",2016,"Journal of Animal Ecology",85,6,"1613-1624","Germain, R.R. and Wolak, M.E. and Arcese, P. and Losdat, S. and Reid, J.M.","10.1111/1365-2656.12575"
"IGE0197","Direct and indirect genetic effects in life-history traits of flour beetles (Tribolium castaneum)",2016,"EVOLUTION",70,1,"207-217","Ellen, Esther D. and Peeters, Katrijn and Verhoeven, Merel and Gols, Rieta and Harvey, Jeffrey A. and Wade, Michael J. and Dicke, Marcel and Bijma, Piter","10.1111/evo.12835"
"IGE0199","Direct and indirect genetic effects on reproductive investment in a grasshopper",2019,"Journal of Evolutionary Biology",32,4,"331-342","Chakrabarty, A. and van Kronenberg, P. and Toliopoulos, N. and Schielzeth, H.","10.1111/jeb.13417"
"IGE0202","Direct and social genetic effects on body weight at 270 days and carcass and ham quality traits in heavy pigs",2015,"Journal of Animal Science",93,1,"1-Oct","Rostellato, R. and Sartori, C. and Bonfatti, V. and Chiarot, G. and Carnier, P.","10.2527/jas.2014-8246"
"IGE0203","Direct and social genetic parameters for growth and fin damage traits in Atlantic cod (Gadus morhua)",2014,"GENETICS SELECTION EVOLUTION",46,NA,NA,"Nielsen, Hanne M. and Monsen, Brage B. and Odegard, Jorgen and Bijma, Piter and Damsgard, Borge and Toften, Hilde and Olesen, Ingrid","10.1186/1297-9686-46-5"
"IGE0242","Effect of competition on gain in feedlot bulls from Hereford selection lines",2007,"Journal of Animal Science",85,7,"1625-1633","Van Vleck, L.D. and Cundiff, L.V. and Kocht, R.M.","10.2527/jas.2007-0067"
"IGE0243","Effect of pen mates on growth, backfat depth, and longissimus muscle area of swine",2010,"Journal of Animal Science",88,3,"895-902","Hsu, W.L. and Johnson, R.K. and van Vleck, L.D.","10.2527/jas.2009-1879"
"IGE0253","Effects of inbreeding on fighting ability measured in Aosta chestnut and aosta black pied cattle",2012,"Journal of Animal Science",90,9,"2907-2915","Sartori, C. and Mantovani, R.","10.2527/jas.2011-4010"
"IGE0291","Estimation of genetic parameters for average daily gain using models with competition effects",2008,"Journal of Animal Science",86,10,"2525-2530","Chen, C.Y. and Kachman, S.D. and Johnson, R.K. and Newman, S. and Van Vleck, L.D.","10.2527/jas.2007-0660"
"IGE0292","Estimation of indirect genetic effects in group-housed mink (Neovison vison) should account for systematic interactions either due to kin or sex",2016,"Journal of Animal Breeding and Genetics",133,1,"43-50","Alemu, S.W. and Berg, P. and Janss, L. and Bijma, P.","10.1111/jbg.12163"
"IGE0293","Estimation of total genetic effects for survival time in crossbred laying hens showing cannibalism, using pedigree or genomic information",2017,"Journal of Animal Breeding and Genetics",134,1,"60-68","Brinker, T. and Raymond, B. and Bijma, P. and Vereijken, A. and Ellen, E.D.","10.1111/jbg.12245"
