Paper_id,X,Record_id,Year,Species_name,Taxon,Population,Population_type,Study_type,Sex,Age,N_id_pedigree,N_records,N_id_w_records,N_sires,N_dams,N_families,Depth_of_ped,Trait_name,Trait_category,Mean_standardized,Trait_mean,Variance_standardized,Trait_sd,Treatment_group,Fixed_eff_of_partner_trait,Other_fixed_eff,Mean_group_size,Va,V_ige,Vpe_foc,Vpe_soc,V_other_1,V_other_2,V_other_3,V_other_4,V_other_5,V_other_6,V_residual,Total_v_phen,H2,Social_h2,R_a_ige,R_pe_pe_soc,Cov_a_ige,Cov_pe_pe_soc,V_tbv,T2,Data_location,Screener_id,Notes,Second_screener_id,Second_screener_notes,Changes_after_second_screening,Data_transf,Trait_mean_transf,Trait_error_distrib,Estimates_scale_nongauss,Vp_group_formula,Species_name.2,Population2,Group_id,Second_screener_original_decision,missingSocial_h2,missingVP,missingVIGE,missingMean,missingVA,missingIdRecords,Total_v_phen2,Trait_mean2,Reported_values_flag,Excluded_after_control,social_h2,Year_of_Publication
IGE0057,122,123,2012,Litopenaeus vannamei,arthropods,"Hainan Higene Aquaculture Technology, Wenchang City, China",captive,experimental,both,ad,NA,4725,4725,100,91,105,2,body mass,morphology,no,26.88,no,4.38,NA,no,yes,45,5.06,0.00395,NA,NA,1.01,1.46,NA,NA,NA,NA,8.18,15.88,0.32,NA,0.02,NA,0.00309,NA,11.63,0.73,Table 2,FS,"info on pedigree (families, dams, sires) is taken only from G1 (gen of experiment); G0 is provided but individuals from G0 were also used for control pop, so to be conservative I only included G1; V other 1 is common env effects, V other 2 is test tank effect (see if any of these can be considered PE? I left PE empty). ",MM,"MM: I think the other variance components are not PE by themselves, so I would leave it like that
",NA,non_transf,NA,gaussian,NA,yes,Penaeus vannamei,WenchangCity_CHN,1,Accept,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15.88,26.88,NA,NA,NA,2015
IGE0144,49,50,NA,Sus scrofa,mammals,NA,captive,experimental,both,ad,NA,9871,9871,NA,NA,NA,NA,carcass weight (CW),morphology,no,135.1,yes,10.9,NA,no,yes,6.1,0.34,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,0.007,0.004,NA,NA,NA,NA,0.52,Table 2,AST,crossbred Goland heavy pigs used; age unclear from paper but google says that pigs are sexually mature from 5-6 months on;,FS,"I think we can consider those values variance standardized (divided by VP) and use direct and social heritability as DGE and IGE, discuss",NA,non_transf,NA,gaussian,NA,NA,Sus scrofa,Gorzagri_IT,2,Revise,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,1,135.1,NA,NA,NA,2013
IGE0144,50,51,NA,Sus scrofa,mammals,NA,captive,experimental,both,ad,NA,4191,4191,NA,NA,NA,NA,lean meat content (LM),morphology,no,49.6,yes,2.7,NA,no,yes,6.1,0.34,0.004,NA,NA,0.06,0.04,NA,NA,NA,NA,NA,NA,0.34,0.004,-0.598,NA,NA,NA,NA,0.22,Table 2,AST,"crossbred Goland heavy pigs used; age unclear from paper but google says that pigs are sexually mature from 5-6 months on; V other 1 = group id, V other 2 = litter id; all random effects components are provided in Table 2 in proportions (i.e. after dividing by total phenotypic variance), so I have extracted them all and set Variance standardized as Yes",FS,"I think we can consider those values variance standardized (divided by VP) and use direct and social heritability as DGE and IGE, discuss","Variance standardized set to Yes and all variance standardize values, which are provided in Table 2, extracted now after agreeing with the other observers",non_transf,NA,gaussian,NA,NA,Sus scrofa,Gorzagri_IT,2,Revise,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,49.6,NA,NA,NA,2013
IGE0144,51,52,NA,Sus scrofa,mammals,NA,captive,experimental,both,ad,NA,9362,9362,NA,NA,NA,NA,ham round shape score (RS),morphology,no,1.8,yes,0.9,NA,no,yes,6.1,0.34,0.003,NA,NA,0.04,0.02,NA,NA,NA,NA,NA,NA,0.34,0.003,-0.435,NA,NA,NA,NA,0.3,Table 2,AST,"crossbred Goland heavy pigs used; age unclear from paper but google says that pigs are sexually mature from 5-6 months on; V other 1 = group id, V other 2 = litter id; all random effects components are provided in Table 2 in proportions (i.e. after dividing by total phenotypic variance), so I have extracted them all and set Variance standardized as Yes",FS,"I think we can consider those values variance standardized (divided by VP) and use direct and social heritability as DGE and IGE, discuss","Variance standardized set to Yes and all variance standardize values, which are provided in Table 2, extracted now after agreeing with the other observers",non_transf,NA,gaussian,NA,NA,Sus scrofa,Gorzagri_IT,2,Revise,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,1.8,NA,NA,NA,2013
IGE0195,46,46,2005-2010,Sus scrofa,mammals,NA,captive,experimental,both,ad,NA,4455,4455,295,1146,NA,5,androstenone level (AND),metabolism & physiology,no,-0.04812121,no,0.8754286,NA,no,yes,6.95,0.355,0.002,NA,NA,0,0.005,0.03,NA,NA,NA,0.22,0.65,NA,NA,0.29,NA,0.008,NA,0.51,0.79,Table 6,AST,"age unclear from paper but seems to covered both stages according to what it written in pg 2471; androstenone was log transformed; Trait mean and Trait SD calculated using values from Table 2 and equations from the Cochrane Handbook of Systematic Reviews of Interventions, but keep in mind that they are in the log scale; V other 1 = group id, V other 2 = compartment id, V other 3 = litter id",FS,"not sure that litter can be considered family, discuss and maybe leave NA; ok for estimateing the mean ourselves (because they report it split in the two breeds), but let's keep this note",# families set to NA after discussing it among observers,log,yes,gaussian,NA,yes,Sus scrofa,PigGenetics_NL,3,Revise,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.65,-0.04812121,NA,NA,NA,2012
IGE0195,47,47,2005-2010,Sus scrofa,mammals,NA,captive,experimental,both,ad,NA,6200,6200,295,1146,NA,5,growth rate,development,no,898.9,no,118.06,NA,no,yes,6.95,2523,34.9,NA,NA,414.5,1038,1065,NA,NA,NA,6154,11506,NA,NA,-0.16,NA,-46.8,NA,3202,0.28,Table 6,AST,"age unclear from paper but seems to covered both stages according to what it written in pg 2471; V other 1 = group id, V other 2 = compartment id, V other 3 = litter id",FS,"not sure that litter can be considered family, discuss and maybe leave NA; ",# families set to NA after discussing it among observers,non_transf,NA,gaussian,NA,yes,Sus scrofa,PigGenetics_NL,3,Revise,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11506,898.9,NA,NA,NA,2012
IGE0195,48,48,2005-2010,Sus scrofa,mammals,NA,captive,experimental,both,ad,NA,6243,6243,295,1146,NA,5,backfat thickness,morphology,no,10.86,no,2.5,NA,no,yes,6.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Text pg 2471,AST,age unclear from paper but seems to covered both stages according to what it written in pg 2471; results not shown (i.e. selectively reporting results based on statistical significance of the social genetic effects (see pg 2471)); we should contact the authors for this data to reduced publication bias in our sample,FS,"not sure that litter can be considered family, discuss and maybe leave NA; ",# families set to NA after discussing it among observers,non_transf,NA,gaussian,NA,NA,Sus scrofa,PigGenetics_NL,3,Revise,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,10.86,NA,NA,NA,2012
IGE0196,25,25,1975-2014,Melospiza melodia,birds,"Mandarte Island, BC, Canada",wild,observational,F,ad,1088,1040,518,NA,NA,NA,38,breeding date,reproduction,no,107,no,13,NA,yes,yes,2,12.2,3.2,10.8,1.00E-04,76.4,3.6,NA,NA,NA,NA,58.8,165.2161,0.07,0.02,0.99,NA,NA,NA,NA,0.17,Table 1,AST,"as in IGE0348, pedigree from 1975-1992 neglects EPP because social data was used and seemingly only some recruits were also genetically id; authors do not specifically define who is the focal sex, but since they use breeding date, sex assigned to female; fixed eff of partner trait = male inbreeding coefficient and age; multiple spatial models, I chose the """"Grid"""" model simply because of showing the lowest residual variance; V other 1 = year, V other 2 = location",MM,"MM: 1) authors state 1975-2014 as actual study years, I think I'd go with that, 2) pedigree depth is not given, 38 years is the total number of study years. 3) to consider that there is info in h2 male",Years changed to 1975-2014,non_transf,NA,gaussian,NA,NA,Melospiza melodia,MandarteIsland_CAN,4,Revise,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,165.2161,107,NA,NA,NA,2016
IGE0197,116,117,NA,Tribolium castaneum,arthropods,"Wageningen, the Netherlands.",captive,experimental,both,juv,5987,4932,4932,2657,2657,126,3,growth rate,development,no,2.32,no,0.5,NA,yes,yes,10,5.47E-05,1.25E-07,NA,NA,2.74E-06,NA,NA,NA,NA,NA,NA,0.000109,NA,NA,-0.201,NA,-5.27E-07,NA,5.53E-05,0.51,Table 6 (model 3),FS,"#id w records is conservative (reported 5687 id with incomplete records in 3 traits, and 4932 with all); id in pedigree are reported in supmat but methods also say they include id with no pedigree, so not sure; means and SD for traits are reported in table 2 for the two pop separately; fixed effect of social is social sex effect (# male partners in vial); V other 1 is group; heritability is estimated in a different model (model 2)",DF,"group size = mostly 10. Depth of ped = 3 perhaps, see Table A1. id in ped = 5987 based on summing numbers in Table A1. Also have # sires as 2657 and # dams as 2657. Don't think we should use the h2 est from table 5 as it is a different model.  cov A-IGE is -0.000000527, r A-IGE is -0.201 (Table 6).","updated group size, depth of ped, # id in ped, sires, dams,  cov A-IGE and r A-IGE, h2 set to NA, mean and SD of pop trait estimated from the two separated by pop ",non_transf,NA,gaussian,NA,NA,Tribolium castaneum,Wageningen_NL,5,Revise,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.000109,2.32,NA,NA,NA,2016
IGE0199,17,17,NA,Chorthippus biguttulus,arthropods,NA,semicaptive,experimental,F,ad,935,6413,396,64,93,NA,1,egg length,reproduction,no,3.5,no,8.008,NA,no,yes,2,0.043,0.003,NA,NA,0.043,0.022,0.033,NA,NA,NA,0.074,0.224,0.2,0.01,NA,NA,NA,NA,NA,NA,Table 1; Text pg 335,AST,"# id/pedigree calculated as the number of females + males + max(sires) + max(dams), meaning that it might be underestimated; # id w records set to 396 instead of 412 because only 396 survived until the last day of the experiment; Trait mean and SD for the start of the experiment, be aware it increases over the experiment by 0.042 (se=0.002) mm/week; Trait SD calculated from reported SE as sd = se*sqrt(6413). V other 1 = Cohort, V other 2 = Mating pair id, V other 3 = Egg pod id; estimates extracted for the full 15-day period, although the authors also provide an estimate for each day (i.e. 15 estimates) in Figure 2",DF,"63 sires, 93 dams, 280 families","#sires and #dams changed to 63 and 94, respectively; #families changed to NA; depth of pedigree changed to 1 because only F1 available",non_transf,NA,gaussian,NA,NA,Chorthippus biguttulus,Bielefeld_DE,6,Revise,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.224,3.5,NA,NA,NA,2019
