"","Record_id","Paper_id","Year","Species_name","Taxon","Population","Population_type","Study_type","Sex","Age","N_id_pedigree","N_records","N_id_w_records","N_sires","N_dams","N_families","Depth_of_ped","Trait_name","Trait_category","Mean_standardized","Trait_mean","Variance_standardized","Trait_sd","Treatment_group","Fixed_eff_of_partner_trait","Other_fixed_eff","Mean_group_size","Va","V_ige","Vpe_foc","Vpe_soc","V_other_1","V_other_2","V_other_3","V_other_4","V_other_5","V_other_6","V_residual","Total_v_phen","H2","Social_h2","R_a_ige","R_pe_pe_soc","Cov_a_ige","Cov_pe_pe_soc","V_tbv","T2","Data_location","Screener_id","Notes","Second_screener_id","Second_screener_notes","Excluded_during_data_extraction","Changes_after_second_screening","Final_comments","Data_transf","Trait_mean_transf","Trait_error_distrib","Estimates_scale_nongauss","Vp_group_formula","Species_name.2","Population2","Group_id","Second_screener_original_decision","missingSocial_h2","missingVP","missingVIGE","missingMean","missingVA","missingIdRecords"
"1","1","IGE0515","2013-2014","Gryllus bimaculatus","arthropods","Capalbio, Italy","semicaptive","experimental","M","ad",NA,1195,455,50,100,68,4,"aggression","behaviour","yes",0,"yes",NA,NA,"no","yes",2,"0.05","0.03",0.12,0.08,NA,NA,NA,NA,NA,NA,0.71,1,NA,NA,-0.87,0.01,NA,NA,0.016,0.016,"Table 1 (model 7); results pg 2","FS",NA,"FS","h2 and h2social are equal to VDGE and VIGE; h2 in model without accounting for IGEs is 0.051","no","h2 set to NA as it was from a model without IGEs",NA,"non_transf",NA,"gaussian",NA,NA,"Gryllus bimaculatus","Capalbio_IT",43,"Revise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2","2","IGE0501","2005-2008","Peromyscus maniculatus sonoriensis","mammals","White Mountain Research Station, California, US","captive","experimental","both","ad",429,490,126,NA,NA,NA,3,"approach rate","behaviour","no",NA,"no",NA,NA,"no","yes",2,"0.016","0.003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,NA,NA,NA,0.015,0.19,"Table 4 (model 3 & 2)","FS","h2 estimated in a different model (without IGEs)","FS","variable was transformed; h2 estimated in a different model (without IGEs) as 0.202","no","h2 set to NA as it was from model without IGEs",NA,"log",NA,"gaussian",NA,NA,"Peromyscus maniculatus sonoriensis","WhiteMountain_US",35,"Revise",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"3","3","IGE0501","2005-2008","Peromyscus maniculatus sonoriensis","mammals","White Mountain Research Station, California, US","captive","experimental","both","ad",429,490,126,NA,NA,NA,3,"naso-anal contact rate","behaviour","no",NA,"no",NA,NA,"no","yes",2,"0.001","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,0.034,"Table 4 (model 3 & 2)","FS","h2 estimated in a different model (without IGEs)","FS","variable was transformed; h2 estimated in a different model (without IGEs) as 0.033","no","h2 set to NA as it was from model without IGEs",NA,"log",NA,"gaussian",NA,NA,"Peromyscus maniculatus sonoriensis","WhiteMountain_US",35,"Revise",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"4","4","IGE0501","2005-2008","Peromyscus maniculatus sonoriensis","mammals","White Mountain Research Station, California, US","captive","experimental","both","ad",429,490,126,NA,NA,NA,3,"mounting rate","behaviour","no",NA,"no",NA,NA,"no","yes",2,"0.007","0.005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.853,NA,NA,NA,0.002,0.025,"Table 4 (model 3 & 2)","FS","h2 estimated in a different model (without IGEs)","FS","variable was transformed ; h2 estimated in a different model (without IGEs) as 0.036","no","h2 set to NA as it was from model without IGEs",NA,"log",NA,"gaussian",NA,NA,"Peromyscus maniculatus sonoriensis","WhiteMountain_US",35,"Revise",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"5","5","IGE0501","2005-2008","Peromyscus maniculatus sonoriensis","mammals","White Mountain Research Station, California, US","captive","experimental","both","ad",429,490,126,NA,NA,NA,3,"rearing rate","behaviour","no",NA,"no",NA,NA,"no","yes",2,"0.018","0.009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.789,NA,NA,NA,0.047,0.607,"Table 4 (model 3 & 2)","FS","h2 estimated in a different model (without IGEs)","FS","variable was transformed; h2 estimated in a different model (without IGEs) as 0.098","no","h2 set to NA as it was from model without IGEs",NA,"log",NA,"gaussian",NA,NA,"Peromyscus maniculatus sonoriensis","WhiteMountain_US",35,"Revise",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"6","6","IGE0501","2005-2008","Peromyscus maniculatus sonoriensis","mammals","White Mountain Research Station, California, US","captive","experimental","both","ad",429,490,126,NA,NA,NA,3,"reciprocal latency to fight","behaviour","no",NA,"no",NA,NA,"no","yes",2,"0.028","0.036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.864,NA,NA,NA,0.119,0.556,"Table 4 (model 3 & 2)","FS","h2 estimated in a different model (without IGEs)","FS","variable was transformed; h2 estimated in a different model (without IGEs) as 0.050","no","h2 set to NA as it was from model without IGEs",NA,"log",NA,"gaussian",NA,NA,"Peromyscus maniculatus sonoriensis","WhiteMountain_US",35,"Revise",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"7","7","IGE0852","1992-2016","Tamiasciurus hudsonicus","mammals","Kluane Red Squirrel Project, Yukon, Canada","wild","observational","F","ad",1694,555,555,NA,NA,NA,NA,"parturition date","reproduction","no",NA,"yes",NA,NA,"no","yes",4,"0.048","0.001",0.001,0.063,0.32,0.04,NA,NA,NA,NA,0.192,1,NA,NA,NA,NA,0.005,-0.018,0.068,NA,"Table 1 (genetic model); results pg 565","FS",NA,"FS","trait is variance standardized so h2 and h2 social will be = to VA and VIGE","no","group size changed to 4 as mean # of neighbors;",NA,"non_transf",NA,"gaussian",NA,NA,"Tamiasciurus hudsonicus","Kluane_CAN",60,"Revise",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"8","8","IGE0509","1958-2004","Larus novaehollandiae scopulinus","birds","Kaikoura Peninsula, New Zealand","wild","observational","F","ad",16518,11991,3628,3316,3540,NA,7,"laying date","reproduction","no",NA,"no",NA,NA,"yes","yes",2,"0.86","34.26",31.51,7.017,50.41,NA,NA,NA,NA,NA,128.7,252.4,NA,NA,0.607,NA,NA,NA,NA,NA,"Table 1; Text pg 940","AST","V other 1 = year. Data extraction discussed among all four reviewers","FS",NA,"no",NA,NA,"non_transf",NA,"gaussian",NA,"yes","Chroicocephalus scopulinus","Kaikoura_NZ",42,"Accept",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"9","9","IGE0505","2009-2011","Neovison vison","mammals","Research Centre Foulum, Denmark","captive","experimental","both","both",2806,1985,1985,136,349,NA,5,"neck bite marks","behaviour","no",2.21,"no",2.11,NA,"no","yes",4,"0.26","0.18",NA,NA,1.4,3.07,NA,NA,NA,NA,NA,3.54,0.07,NA,0.55,NA,0.12,NA,1.65,0.47,"Table 6","AST","Trait mean and SD can be estimated as a marginalized mean using the values in Table 2. V other 1 = residuals males; V other 2 = residuals females. Data extraction discussed among all four reviewers
","FS","Trait mean and SD are estimated as a marginalized mean using the values in Table 2. V other 1 = residuals males; V other 2 = residuals females.","no","estimated mean and sd with marginal means formula",NA,"log","no","gaussian",NA,NA,"Neovison vison","Foulum_DK",37,"Revise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10","10","IGE0505","2009-2011","Neovison vison","mammals","Research Centre Foulum, Denmark","captive","experimental","both","both",2806,1985,1985,136,349,NA,5,"tail bite marks","behaviour","no",2.22,"no",2.43,NA,"no","yes",4,"0.34","0.14",NA,NA,2.8,6.1,NA,NA,NA,NA,NA,5.31,0.06,NA,0.99,NA,0.21,NA,2.19,0.41,"Table 6","AST","Trait mean and SD can be estimated as a marginalized mean using the values in Table 2. V other 1 = residuals males; V other 2 = residuals females. Data extraction discussed among all four reviewers
","FS","Trait mean and SD are estimated as a marginalized mean using the values in Table 2. V other 1 = residuals males; V other 2 = residuals females.","no","estimated mean and sd with marginal means formula",NA,"log","no","gaussian",NA,NA,"Neovison vison","Foulum_DK",37,"Revise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
