"Paper_id","Record_id","Year","Species_name","Taxon","Population","Population_type","Study_type","Sex","Age","N_id_pedigree","N_records","N_id_w_records","N_sires","N_dams","N_families","Depth_of_ped","Trait_name","Trait_category","Mean_standardized","Trait_mean","Variance_standardized","Trait_sd","Treatment_group","Fixed_eff_of_partner_trait","Other_fixed_eff","Mean_group_size","Va","V_ige","Vpe_foc","Vpe_soc","V_other_1","V_other_2","V_other_3","V_other_4","V_other_5","V_other_6","V_residual","Total_v_phen","H2","Social_h2","R_a_ige","R_pe_pe_soc","Cov_a_ige","Cov_pe_pe_soc","V_tbv","T2","Data_location","Screener_id","Notes","Second_screener_id","Second_screener_notes","Changes_after_second_screening","Data_transf","Trait_mean_transf","Trait_error_distrib","Estimates_scale_nongauss","Vp_group_formula","Species_name.2","Population2","Group_id","Second_screener_original_decision","Total_v_phen2","Trait_mean2","Reported_values_flag","Excluded_after_control","social_h2","Year_of_Publication","Total_v_phen_calc","Total_v_phen3","Social_h2_calc","Social_h2_2","H2_calc","H2_2","Social_h2_2_Zr","VZr","Social_h2_Zr","H2_2_Zr","direct_social","dat3C_I","dat_weights","Record_id_long","Species_name.2.phylo"
"IGE0057","123","2012","Litopenaeus vannamei","arthropods","Hainan Higene Aquaculture Technology, Wenchang City, China","captive","experimental","both","ad",NA,4725,4725,100,91,105,2,"body mass","morphology","no",26.88,"no",4.38,NA,"no","yes",45,5.06,0.00395,NA,NA,1.01,1.46,NA,NA,NA,NA,8.18,15.88,0.32,NA,0.02,NA,0.00309,NA,11.63,0.73,"Table 2","FS","info on pedigree (families, dams, sires) is taken only from G1 (gen of experiment); G0 is provided but individuals from G0 were also used for control pop, so to be conservative I only included G1; V other 1 is common env effects, V other 2 is test tank effect (see if any of these can be considered PE? I left PE empty). ","MM","MM: I think the other variance components are not PE by themselves, so I would leave it like that
",NA,"non_transf",NA,"gaussian",NA,"yes","Penaeus vannamei","WenchangCity_CHN","1","Accept",15.88,26.88,NA,NA,NA,2015,15.8125,15.88,0.000248740554156171,0.000248740554156171,0.318639798488665,0.32,0,0.000211774671749259,NA,0.332,"I_a",0.00700312677154195,8.46062283992784,1,"Penaeus vannamei"
"IGE0057","123","2012","Litopenaeus vannamei","arthropods","Hainan Higene Aquaculture Technology, Wenchang City, China","captive","experimental","both","ad",NA,4725,4725,100,91,105,2,"body mass","morphology","no",26.88,"no",4.38,NA,"no","yes",45,5.06,0.00395,NA,NA,1.01,1.46,NA,NA,NA,NA,8.18,15.88,0.32,NA,0.02,NA,0.00309,NA,11.63,0.73,"Table 2","FS","info on pedigree (families, dams, sires) is taken only from G1 (gen of experiment); G0 is provided but individuals from G0 were also used for control pop, so to be conservative I only included G1; V other 1 is common env effects, V other 2 is test tank effect (see if any of these can be considered PE? I left PE empty). ","MM","MM: I think the other variance components are not PE by themselves, so I would leave it like that
",NA,"non_transf",NA,"gaussian",NA,"yes","Penaeus vannamei","WenchangCity_CHN","1","Accept",15.88,26.88,NA,NA,NA,2015,15.8125,15.88,0.000248740554156171,0.000248740554156171,0.318639798488665,0.32,0,0.000211774671749259,NA,0.332,"I_ige",5.46686773667801e-06,8.46062283992784,2,"Penaeus vannamei"
"IGE0195","47","2005-2010","Sus scrofa","mammals",NA,"captive","experimental","both","ad",NA,6200,6200,295,1146,NA,5,"growth rate","development","no",898.9,"no",118.06,NA,"no","yes",6.95,2523,34.9,NA,NA,414.5,1038,1065,NA,NA,NA,6154,11506,NA,NA,-0.16,NA,-46.8,NA,3202,0.28,"Table 6","AST","age unclear from paper but seems to covered both stages according to what it written in pg 2471; V other 1 = group id, V other 2 = compartment id, V other 3 = litter id","FS","not sure that litter can be considered family, discuss and maybe leave NA; ","# families set to NA after discussing it among observers","non_transf",NA,"gaussian",NA,"yes","Sus scrofa","PigGenetics_NL","3","Revise",11506,898.9,NA,NA,NA,2012,NA,11506,0.00303320006952894,0.00303320006952894,0.219276899009213,0.219276899009213,0.003,0.000161368404066484,NA,0.223,"I_a",0.00312244278835205,8.73230457103318,3,"Sus scrofa"
"IGE0195","47","2005-2010","Sus scrofa","mammals",NA,"captive","experimental","both","ad",NA,6200,6200,295,1146,NA,5,"growth rate","development","no",898.9,"no",118.06,NA,"no","yes",6.95,2523,34.9,NA,NA,414.5,1038,1065,NA,NA,NA,6154,11506,NA,NA,-0.16,NA,-46.8,NA,3202,0.28,"Table 6","AST","age unclear from paper but seems to covered both stages according to what it written in pg 2471; V other 1 = group id, V other 2 = compartment id, V other 3 = litter id","FS","not sure that litter can be considered family, discuss and maybe leave NA; ","# families set to NA after discussing it among observers","non_transf",NA,"gaussian",NA,"yes","Sus scrofa","PigGenetics_NL","3","Revise",11506,898.9,NA,NA,NA,2012,NA,11506,0.00303320006952894,0.00303320006952894,0.219276899009213,0.219276899009213,0.003,0.000161368404066484,NA,0.223,"I_ige",4.31919355186233e-05,8.73230457103318,4,"Sus scrofa"
"IGE0196","25","1975-2014","Melospiza melodia","birds","Mandarte Island, BC, Canada","wild","observational","F","ad",1088,1040,518,NA,NA,NA,38,"breeding date","reproduction","no",107,"no",13,NA,"yes","yes",2,12.2,3.2,10.8,1e-04,76.4,3.6,NA,NA,NA,NA,58.8,165.2161,0.07,0.02,0.99,NA,NA,NA,NA,0.17,"Table 1","AST","as in IGE0348, pedigree from 1975-1992 neglects EPP because social data was used and seemingly only some recruits were also genetically id; authors do not specifically define who is the focal sex, but since they use breeding date, sex assigned to female; fixed eff of partner trait = male inbreeding coefficient and age; multiple spatial models, I chose the """"Grid"""" model simply because of showing the lowest residual variance; V other 1 = year, V other 2 = location","MM","MM: 1) authors state 1975-2014 as actual study years, I think I'd go with that, 2) pedigree depth is not given, 38 years is the total number of study years. 3) to consider that there is info in h2 male","Years changed to 1975-2014","non_transf",NA,"gaussian",NA,NA,"Melospiza melodia","MandarteIsland_CAN","4","Revise",165.2161,107,NA,NA,NA,2016,174.285714285714,165.2161,0.0193685724333161,0.02,0.0738426824020177,0.07,0.02,0.00194174757281553,0.02,0.07,"I_a",0.00106559524849332,6.24997524225948,5,"Melospiza melodia"
"IGE0196","25","1975-2014","Melospiza melodia","birds","Mandarte Island, BC, Canada","wild","observational","F","ad",1088,1040,518,NA,NA,NA,38,"breeding date","reproduction","no",107,"no",13,NA,"yes","yes",2,12.2,3.2,10.8,1e-04,76.4,3.6,NA,NA,NA,NA,58.8,165.2161,0.07,0.02,0.99,NA,NA,NA,NA,0.17,"Table 1","AST","as in IGE0348, pedigree from 1975-1992 neglects EPP because social data was used and seemingly only some recruits were also genetically id; authors do not specifically define who is the focal sex, but since they use breeding date, sex assigned to female; fixed eff of partner trait = male inbreeding coefficient and age; multiple spatial models, I chose the """"Grid"""" model simply because of showing the lowest residual variance; V other 1 = year, V other 2 = location","MM","MM: 1) authors state 1975-2014 as actual study years, I think I'd go with that, 2) pedigree depth is not given, 38 years is the total number of study years. 3) to consider that there is info in h2 male","Years changed to 1975-2014","non_transf",NA,"gaussian",NA,NA,"Melospiza melodia","MandarteIsland_CAN","4","Revise",165.2161,107,NA,NA,NA,2016,174.285714285714,165.2161,0.0193685724333161,0.02,0.0738426824020177,0.07,0.02,0.00194174757281553,0.02,0.07,"I_ige",0.000279500393047428,6.24997524225948,6,"Melospiza melodia"
"IGE0197","117",NA,"Tribolium castaneum","arthropods","Wageningen, the Netherlands.","captive","experimental","both","juv",5987,4932,4932,2657,2657,126,3,"growth rate","development","no",2.32,"no",0.5,NA,"yes","yes",10,5.47e-05,1.25e-07,NA,NA,2.74e-06,NA,NA,NA,NA,NA,NA,0.000109,NA,NA,-0.201,NA,-5.27e-07,NA,5.53e-05,0.51,"Table 6 (model 3)","FS","#id w records is conservative (reported 5687 id with incomplete records in 3 traits, and 4932 with all); id in pedigree are reported in supmat but methods also say they include id with no pedigree, so not sure; means and SD for traits are reported in table 2 for the two pop separately; fixed effect of social is social sex effect (# male partners in vial); V other 1 is group; heritability is estimated in a different model (model 2)","DF","group size = mostly 10. Depth of ped = 3 perhaps, see Table A1. id in ped = 5987 based on summing numbers in Table A1. Also have # sires as 2657 and # dams as 2657. Don't think we should use the h2 est from table 5 as it is a different model.  cov A-IGE is -0.000000527, r A-IGE is -0.201 (Table 6).","updated group size, depth of ped, # id in ped, sires, dams,  cov A-IGE and r A-IGE, h2 set to NA, mean and SD of pop trait estimated from the two separated by pop ","non_transf",NA,"gaussian",NA,NA,"Tribolium castaneum","Wageningen_NL","5","Revise",0.000109,2.32,NA,NA,NA,2016,NA,0.000109,0.00114678899082569,0.00114678899082569,0.501834862385321,0.501834862385321,0.001,0.000202880908906472,NA,0.552,"I_a",1.01627526753864e-05,8.50349986428423,7,"Tribolium castaneum"
"IGE0197","117",NA,"Tribolium castaneum","arthropods","Wageningen, the Netherlands.","captive","experimental","both","juv",5987,4932,4932,2657,2657,126,3,"growth rate","development","no",2.32,"no",0.5,NA,"yes","yes",10,5.47e-05,1.25e-07,NA,NA,2.74e-06,NA,NA,NA,NA,NA,NA,0.000109,NA,NA,-0.201,NA,-5.27e-07,NA,5.53e-05,0.51,"Table 6 (model 3)","FS","#id w records is conservative (reported 5687 id with incomplete records in 3 traits, and 4932 with all); id in pedigree are reported in supmat but methods also say they include id with no pedigree, so not sure; means and SD for traits are reported in table 2 for the two pop separately; fixed effect of social is social sex effect (# male partners in vial); V other 1 is group; heritability is estimated in a different model (model 2)","DF","group size = mostly 10. Depth of ped = 3 perhaps, see Table A1. id in ped = 5987 based on summing numbers in Table A1. Also have # sires as 2657 and # dams as 2657. Don't think we should use the h2 est from table 5 as it is a different model.  cov A-IGE is -0.000000527, r A-IGE is -0.201 (Table 6).","updated group size, depth of ped, # id in ped, sires, dams,  cov A-IGE and r A-IGE, h2 set to NA, mean and SD of pop trait estimated from the two separated by pop ","non_transf",NA,"gaussian",NA,NA,"Tribolium castaneum","Wageningen_NL","5","Revise",0.000109,2.32,NA,NA,NA,2016,NA,0.000109,0.00114678899082569,0.00114678899082569,0.501834862385321,0.501834862385321,0.001,0.000202880908906472,NA,0.552,"I_ige",2.3223840665874e-08,8.50349986428423,8,"Tribolium castaneum"
"IGE0199","17",NA,"Chorthippus biguttulus","arthropods",NA,"semicaptive","experimental","F","ad",935,6413,396,64,93,NA,1,"egg length","reproduction","no",3.5,"no",8.008,NA,"no","yes",2,0.043,0.003,NA,NA,0.043,0.022,0.033,NA,NA,NA,0.074,0.224,0.2,0.01,NA,NA,NA,NA,NA,NA,"Table 1; Text pg 335","AST","# id/pedigree calculated as the number of females + males + max(sires) + max(dams), meaning that it might be underestimated; # id w records set to 396 instead of 412 because only 396 survived until the last day of the experiment; Trait mean and SD for the start of the experiment, be aware it increases over the experiment by 0.042 (se=0.002) mm/week; Trait SD calculated from reported SE as sd = se*sqrt(6413). V other 1 = Cohort, V other 2 = Mating pair id, V other 3 = Egg pod id; estimates extracted for the full 15-day period, although the authors also provide an estimate for each day (i.e. 15 estimates) in Figure 2","DF","63 sires, 93 dams, 280 families","#sires and #dams changed to 63 and 94, respectively; #families changed to NA; depth of pedigree changed to 1 because only F1 available","non_transf",NA,"gaussian",NA,NA,"Chorthippus biguttulus","Bielefeld_DE","6","Revise",0.224,3.5,NA,NA,NA,2019,0.215,0.224,0.0133928571428571,0.01,0.191964285714286,0.2,0.01,0.00254452926208651,0.01,0.203,"I_a",0.00351020408163265,5.98141421125448,9,"Chorthippus biguttulus"
"IGE0199","17",NA,"Chorthippus biguttulus","arthropods",NA,"semicaptive","experimental","F","ad",935,6413,396,64,93,NA,1,"egg length","reproduction","no",3.5,"no",8.008,NA,"no","yes",2,0.043,0.003,NA,NA,0.043,0.022,0.033,NA,NA,NA,0.074,0.224,0.2,0.01,NA,NA,NA,NA,NA,NA,"Table 1; Text pg 335","AST","# id/pedigree calculated as the number of females + males + max(sires) + max(dams), meaning that it might be underestimated; # id w records set to 396 instead of 412 because only 396 survived until the last day of the experiment; Trait mean and SD for the start of the experiment, be aware it increases over the experiment by 0.042 (se=0.002) mm/week; Trait SD calculated from reported SE as sd = se*sqrt(6413). V other 1 = Cohort, V other 2 = Mating pair id, V other 3 = Egg pod id; estimates extracted for the full 15-day period, although the authors also provide an estimate for each day (i.e. 15 estimates) in Figure 2","DF","63 sires, 93 dams, 280 families","#sires and #dams changed to 63 and 94, respectively; #families changed to NA; depth of pedigree changed to 1 because only F1 available","non_transf",NA,"gaussian",NA,NA,"Chorthippus biguttulus","Bielefeld_DE","6","Revise",0.224,3.5,NA,NA,NA,2019,0.215,0.224,0.0133928571428571,0.01,0.191964285714286,0.2,0.01,0.00254452926208651,0.01,0.203,"I_ige",0.000244897959183673,5.98141421125448,10,"Chorthippus biguttulus"
"IGE0199","18",NA,"Chorthippus biguttulus","arthropods",NA,"semicaptive","experimental","F","ad",935,1062,396,64,93,NA,1,"egg number","reproduction","no",6.933,"no",14.86,NA,"no","yes",2,0.783,0.071,NA,NA,0.836,1.449,NA,NA,NA,NA,3.41,6.757,0.12,0.01,NA,NA,NA,NA,NA,NA,"Table 1; Text pg 337","AST","# id/pedigree calculated as the number of females + males + max(sires) + max(dams), meaning that it might be underestimated; # id w records set to 396 instead of 412 because only 396 survived until the last day of the experiment; Trait mean and SD for the start of the experiment, be aware it decreases over the experiment by -0.560 (se=0.016) eggs/week; Trait SD calculated from reported SE as sd = se*sqrt(1062); V other 1 = Cohort, V other 2 = Mating pair id; estimates extracted for the full 15-day period, although the authors also provide an estimate for each day (i.e. 15 estimates) in Figure 2","DF","63 sires, 93 dams, 280 families","#sires and #dams changed to 63 and 94, respectively; #families changed to NA; depth of pedigree changed to 1 because only F1 available","non_transf",NA,"gaussian",NA,NA,"Chorthippus biguttulus","Bielefeld_DE","6","Revise",6.757,6.933,NA,NA,NA,2019,6.525,6.757,0.0105076217256179,0.01,0.11587982832618,0.12,0.01,0.00254452926208651,0.01,0.121,"I_a",0.0162899353851287,5.98141421125448,11,"Chorthippus biguttulus"
"IGE0199","18",NA,"Chorthippus biguttulus","arthropods",NA,"semicaptive","experimental","F","ad",935,1062,396,64,93,NA,1,"egg number","reproduction","no",6.933,"no",14.86,NA,"no","yes",2,0.783,0.071,NA,NA,0.836,1.449,NA,NA,NA,NA,3.41,6.757,0.12,0.01,NA,NA,NA,NA,NA,NA,"Table 1; Text pg 337","AST","# id/pedigree calculated as the number of females + males + max(sires) + max(dams), meaning that it might be underestimated; # id w records set to 396 instead of 412 because only 396 survived until the last day of the experiment; Trait mean and SD for the start of the experiment, be aware it decreases over the experiment by -0.560 (se=0.016) eggs/week; Trait SD calculated from reported SE as sd = se*sqrt(1062); V other 1 = Cohort, V other 2 = Mating pair id; estimates extracted for the full 15-day period, although the authors also provide an estimate for each day (i.e. 15 estimates) in Figure 2","DF","63 sires, 93 dams, 280 families","#sires and #dams changed to 63 and 94, respectively; #families changed to NA; depth of pedigree changed to 1 because only F1 available","non_transf",NA,"gaussian",NA,NA,"Chorthippus biguttulus","Bielefeld_DE","6","Revise",6.757,6.933,NA,NA,NA,2019,6.525,6.757,0.0105076217256179,0.01,0.11587982832618,0.12,0.01,0.00254452926208651,0.01,0.121,"I_ige",0.00147712057770643,5.98141421125448,12,"Chorthippus biguttulus"
"IGE0199","19",NA,"Chorthippus biguttulus","arthropods",NA,"semicaptive","experimental","F","ad",935,1062,396,64,93,NA,1,"egg pod length","reproduction","no",9.285,"no",5.182,NA,"no","yes",2,0.542,0.088,NA,NA,0.042,0.223,NA,NA,NA,NA,1.766,2.643,0.2,0.03,NA,NA,NA,NA,NA,NA,"Table 1; Text pg 337","AST","# id/pedigree calculated as the number of females + males + max(sires) + max(dams), meaning that it might be underestimated; # id w records set to 396 instead of 412 because only 396 survived until the last day of the experiment; Trait mean and SD for the start of the experiment, be aware it decreases over the experiment by -0.273 (se=0.012) mm/week; Trait SD calculated from reported SE as sd = se*sqrt(1062); V other 1 = Cohort, V other 2 = Mating pair id; estimates extracted for the full 15-day period, although the authors also provide an estimate for each day (i.e. 15 estimates) in Figure 2","DF","63 sires, 93 dams, 280 families","#sires and #dams changed to 63 and 94, respectively; #families changed to NA; depth of pedigree changed to 1 because only F1 available","non_transf",NA,"gaussian",NA,NA,"Chorthippus biguttulus","Bielefeld_DE","6","Revise",2.643,9.285,NA,NA,NA,2019,2.71,2.643,0.0332954975406735,0.03,0.205069996216421,0.2,0.03,0.00254452926208651,0.03,0.203,"I_a",0.00628688433553751,5.98141421125448,13,"Chorthippus biguttulus"
