"Paper_id","Record_id","Year","Species_name","Taxon","Population","Population_type","Study_type","Sex","Age","N_id_pedigree","N_records","N_id_w_records","N_sires","N_dams","N_families","Depth_of_ped","Trait_name","Trait_category","Mean_standardized","Trait_mean","Variance_standardized","Trait_sd","Treatment_group","Fixed_eff_of_partner_trait","Other_fixed_eff","Mean_group_size","Va","V_ige","Vpe_foc","Vpe_soc","V_other_1","V_other_2","V_other_3","V_other_4","V_other_5","V_other_6","V_residual","Total_v_phen","H2","Social_h2","R_a_ige","R_pe_pe_soc","Cov_a_ige","Cov_pe_pe_soc","V_tbv","T2","Data_location","Screener_id","Notes","Second_screener_id","Second_screener_notes","Changes_after_second_screening","Data_transf","Trait_mean_transf","Trait_error_distrib","Estimates_scale_nongauss","Vp_group_formula","Species_name.2","Population2","Group_id","Second_screener_original_decision","Total_v_phen2","Trait_mean2","Reported_values_flag","Excluded_after_control","social_h2","Year_of_Publication","Total_v_phen_calc","Total_v_phen3","Social_h2_calc","Social_h2_2","H2_calc","Social_h2_2_Zr","VZr","Social_h2_Zr","V_tbv_calc","V_ige_2","V_tbv_calc_2","V_tbv_2","T2_calc","direct_social","dat4A_herit","dat_weights","Record_id_long","Species_name.2.phylo"
"IGE0057","123","2012","Litopenaeus vannamei","arthropods","Hainan Higene Aquaculture Technology, Wenchang City, China","captive","experimental","both","ad",NA,4725,4725,100,91,105,2,"body mass","morphology","no",26.88,"no",4.38,NA,"no","yes",45,5.06,0.00395,NA,NA,1.01,1.46,NA,NA,NA,NA,8.18,15.88,0.32,NA,0.02,NA,0.00309,NA,11.63,0.73,"Table 2","FS","info on pedigree (families, dams, sires) is taken only from G1 (gen of experiment); G0 is provided but individuals from G0 were also used for control pop, so to be conservative I only included G1; V other 1 is common env effects, V other 2 is test tank effect (see if any of these can be considered PE? I left PE empty). ","MM","MM: I think the other variance components are not PE by themselves, so I would leave it like that
",NA,"non_transf",NA,"gaussian",NA,"yes","Penaeus vannamei","WenchangCity_CHN","1","Accept",15.88,26.88,NA,NA,NA,2015,15.8125,15.88,0.000248740554156171,0.000248740554156171,0.318639798488665,0,0.000211774671749259,NA,12.97912,0.00395,12.97912,11.63,0.732367758186398,"H2_2",0.32,8.46062283992784,1,"Penaeus vannamei"
"IGE0057","123","2012","Litopenaeus vannamei","arthropods","Hainan Higene Aquaculture Technology, Wenchang City, China","captive","experimental","both","ad",NA,4725,4725,100,91,105,2,"body mass","morphology","no",26.88,"no",4.38,NA,"no","yes",45,5.06,0.00395,NA,NA,1.01,1.46,NA,NA,NA,NA,8.18,15.88,0.32,NA,0.02,NA,0.00309,NA,11.63,0.73,"Table 2","FS","info on pedigree (families, dams, sires) is taken only from G1 (gen of experiment); G0 is provided but individuals from G0 were also used for control pop, so to be conservative I only included G1; V other 1 is common env effects, V other 2 is test tank effect (see if any of these can be considered PE? I left PE empty). ","MM","MM: I think the other variance components are not PE by themselves, so I would leave it like that
",NA,"non_transf",NA,"gaussian",NA,"yes","Penaeus vannamei","WenchangCity_CHN","1","Accept",15.88,26.88,NA,NA,NA,2015,15.8125,15.88,0.000248740554156171,0.000248740554156171,0.318639798488665,0,0.000211774671749259,NA,12.97912,0.00395,12.97912,11.63,0.732367758186398,"T2_2",0.73,8.46062283992784,2,"Penaeus vannamei"
"IGE0144","50",NA,"Sus scrofa","mammals",NA,"captive","experimental","both","ad",NA,9871,9871,NA,NA,NA,NA,"carcass weight (CW)","morphology","no",135.1,"yes",10.9,NA,"no","yes",6.1,0.34,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,0.007,0.004,NA,NA,NA,NA,0.52,"Table 2","AST","crossbred Goland heavy pigs used; age unclear from paper but google says that pigs are sexually mature from 5-6 months on;","FS","I think we can consider those values variance standardized (divided by VP) and use direct and social heritability as DGE and IGE, discuss",NA,"non_transf",NA,"gaussian",NA,NA,"Sus scrofa","Gorzagri_IT","2","Revise",1,135.1,NA,NA,NA,2013,1,1,0.007,0.007,0.34,0.007,0.000101337657073368,0.007,NA,0.007,NA,NA,NA,"H2_2",0.34,9.19735644441789,3,"Sus scrofa"
"IGE0144","50",NA,"Sus scrofa","mammals",NA,"captive","experimental","both","ad",NA,9871,9871,NA,NA,NA,NA,"carcass weight (CW)","morphology","no",135.1,"yes",10.9,NA,"no","yes",6.1,0.34,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,0.007,0.004,NA,NA,NA,NA,0.52,"Table 2","AST","crossbred Goland heavy pigs used; age unclear from paper but google says that pigs are sexually mature from 5-6 months on;","FS","I think we can consider those values variance standardized (divided by VP) and use direct and social heritability as DGE and IGE, discuss",NA,"non_transf",NA,"gaussian",NA,NA,"Sus scrofa","Gorzagri_IT","2","Revise",1,135.1,NA,NA,NA,2013,1,1,0.007,0.007,0.34,0.007,0.000101337657073368,0.007,NA,0.007,NA,NA,NA,"T2_2",0.52,9.19735644441789,4,"Sus scrofa"
"IGE0144","51",NA,"Sus scrofa","mammals",NA,"captive","experimental","both","ad",NA,4191,4191,NA,NA,NA,NA,"lean meat content (LM)","morphology","no",49.6,"yes",2.7,NA,"no","yes",6.1,0.34,0.004,NA,NA,0.06,0.04,NA,NA,NA,NA,NA,NA,0.34,0.004,-0.598,NA,NA,NA,NA,0.22,"Table 2","AST","crossbred Goland heavy pigs used; age unclear from paper but google says that pigs are sexually mature from 5-6 months on; V other 1 = group id, V other 2 = litter id; all random effects components are provided in Table 2 in proportions (i.e. after dividing by total phenotypic variance), so I have extracted them all and set Variance standardized as Yes","FS","I think we can consider those values variance standardized (divided by VP) and use direct and social heritability as DGE and IGE, discuss","Variance standardized set to Yes and all variance standardize values, which are provided in Table 2, extracted now after agreeing with the other observers","non_transf",NA,"gaussian",NA,NA,"Sus scrofa","Gorzagri_IT","2","Revise",1,49.6,NA,NA,NA,2013,1,1,0.004,0.004,0.34,0.004,0.000238777459407832,0.004,NA,0.004,NA,NA,NA,"H2_2",0.34,8.34069464792507,5,"Sus scrofa"
"IGE0144","51",NA,"Sus scrofa","mammals",NA,"captive","experimental","both","ad",NA,4191,4191,NA,NA,NA,NA,"lean meat content (LM)","morphology","no",49.6,"yes",2.7,NA,"no","yes",6.1,0.34,0.004,NA,NA,0.06,0.04,NA,NA,NA,NA,NA,NA,0.34,0.004,-0.598,NA,NA,NA,NA,0.22,"Table 2","AST","crossbred Goland heavy pigs used; age unclear from paper but google says that pigs are sexually mature from 5-6 months on; V other 1 = group id, V other 2 = litter id; all random effects components are provided in Table 2 in proportions (i.e. after dividing by total phenotypic variance), so I have extracted them all and set Variance standardized as Yes","FS","I think we can consider those values variance standardized (divided by VP) and use direct and social heritability as DGE and IGE, discuss","Variance standardized set to Yes and all variance standardize values, which are provided in Table 2, extracted now after agreeing with the other observers","non_transf",NA,"gaussian",NA,NA,"Sus scrofa","Gorzagri_IT","2","Revise",1,49.6,NA,NA,NA,2013,1,1,0.004,0.004,0.34,0.004,0.000238777459407832,0.004,NA,0.004,NA,NA,NA,"T2_2",0.22,8.34069464792507,6,"Sus scrofa"
"IGE0144","52",NA,"Sus scrofa","mammals",NA,"captive","experimental","both","ad",NA,9362,9362,NA,NA,NA,NA,"ham round shape score (RS)","morphology","no",1.8,"yes",0.9,NA,"no","yes",6.1,0.34,0.003,NA,NA,0.04,0.02,NA,NA,NA,NA,NA,NA,0.34,0.003,-0.435,NA,NA,NA,NA,0.3,"Table 2","AST","crossbred Goland heavy pigs used; age unclear from paper but google says that pigs are sexually mature from 5-6 months on; V other 1 = group id, V other 2 = litter id; all random effects components are provided in Table 2 in proportions (i.e. after dividing by total phenotypic variance), so I have extracted them all and set Variance standardized as Yes","FS","I think we can consider those values variance standardized (divided by VP) and use direct and social heritability as DGE and IGE, discuss","Variance standardized set to Yes and all variance standardize values, which are provided in Table 2, extracted now after agreeing with the other observers","non_transf",NA,"gaussian",NA,NA,"Sus scrofa","Gorzagri_IT","2","Revise",1,1.8,NA,NA,NA,2013,1,1,0.003,0.003,0.34,0.003,0.000106849022331446,0.003,NA,0.003,NA,NA,NA,"H2_2",0.34,9.14441422186002,7,"Sus scrofa"
"IGE0144","52",NA,"Sus scrofa","mammals",NA,"captive","experimental","both","ad",NA,9362,9362,NA,NA,NA,NA,"ham round shape score (RS)","morphology","no",1.8,"yes",0.9,NA,"no","yes",6.1,0.34,0.003,NA,NA,0.04,0.02,NA,NA,NA,NA,NA,NA,0.34,0.003,-0.435,NA,NA,NA,NA,0.3,"Table 2","AST","crossbred Goland heavy pigs used; age unclear from paper but google says that pigs are sexually mature from 5-6 months on; V other 1 = group id, V other 2 = litter id; all random effects components are provided in Table 2 in proportions (i.e. after dividing by total phenotypic variance), so I have extracted them all and set Variance standardized as Yes","FS","I think we can consider those values variance standardized (divided by VP) and use direct and social heritability as DGE and IGE, discuss","Variance standardized set to Yes and all variance standardize values, which are provided in Table 2, extracted now after agreeing with the other observers","non_transf",NA,"gaussian",NA,NA,"Sus scrofa","Gorzagri_IT","2","Revise",1,1.8,NA,NA,NA,2013,1,1,0.003,0.003,0.34,0.003,0.000106849022331446,0.003,NA,0.003,NA,NA,NA,"T2_2",0.3,9.14441422186002,8,"Sus scrofa"
"IGE0195","46","2005-2010","Sus scrofa","mammals",NA,"captive","experimental","both","ad",NA,4455,4455,295,1146,NA,5,"androstenone level (AND)","metabolism & physiology","no",-0.04812121,"no",0.8754286,NA,"no","yes",6.95,0.355,0.002,NA,NA,0,0.005,0.03,NA,NA,NA,0.22,0.65,NA,NA,0.29,NA,0.008,NA,0.51,0.79,"Table 6","AST","age unclear from paper but seems to covered both stages according to what it written in pg 2471; androstenone was log transformed; Trait mean and Trait SD calculated using values from Table 2 and equations from the Cochrane Handbook of Systematic Reviews of Interventions, but keep in mind that they are in the log scale; V other 1 = group id, V other 2 = compartment id, V other 3 = litter id","FS","not sure that litter can be considered family, discuss and maybe leave NA; ok for estimateing the mean ourselves (because they report it split in the two breeds), but let's keep this note","# families set to NA after discussing it among observers","log","yes","gaussian",NA,"yes","Sus scrofa","PigGenetics_NL","3","Revise",0.65,-0.04812121,NA,NA,NA,2012,NA,0.65,0.00307692307692308,0.00307692307692308,0.546153846153846,0.003,0.000224618149146451,NA,0.521005,0.002,0.521005,0.51,0.784615384615385,"H2_2",0.546153846153846,8.40178233990491,9,"Sus scrofa"
"IGE0195","46","2005-2010","Sus scrofa","mammals",NA,"captive","experimental","both","ad",NA,4455,4455,295,1146,NA,5,"androstenone level (AND)","metabolism & physiology","no",-0.04812121,"no",0.8754286,NA,"no","yes",6.95,0.355,0.002,NA,NA,0,0.005,0.03,NA,NA,NA,0.22,0.65,NA,NA,0.29,NA,0.008,NA,0.51,0.79,"Table 6","AST","age unclear from paper but seems to covered both stages according to what it written in pg 2471; androstenone was log transformed; Trait mean and Trait SD calculated using values from Table 2 and equations from the Cochrane Handbook of Systematic Reviews of Interventions, but keep in mind that they are in the log scale; V other 1 = group id, V other 2 = compartment id, V other 3 = litter id","FS","not sure that litter can be considered family, discuss and maybe leave NA; ok for estimateing the mean ourselves (because they report it split in the two breeds), but let's keep this note","# families set to NA after discussing it among observers","log","yes","gaussian",NA,"yes","Sus scrofa","PigGenetics_NL","3","Revise",0.65,-0.04812121,NA,NA,NA,2012,NA,0.65,0.00307692307692308,0.00307692307692308,0.546153846153846,0.003,0.000224618149146451,NA,0.521005,0.002,0.521005,0.51,0.784615384615385,"T2_2",0.79,8.40178233990491,10,"Sus scrofa"
