"Paper_id","Record_id","Year","Species_name","Taxon","Population","Population_type","Study_type","Sex","Age","N_id_pedigree","N_records","N_id_w_records","N_sires","N_dams","N_families","Depth_of_ped","Trait_name","Trait_category","Mean_standardized","Trait_mean","Variance_standardized","Trait_sd","Treatment_group","Fixed_eff_of_partner_trait","Other_fixed_eff","Mean_group_size","Va","V_ige","Vpe_foc","Vpe_soc","V_other_1","V_other_2","V_other_3","V_other_4","V_other_5","V_other_6","V_residual","Total_v_phen","H2","Social_h2","R_a_ige","R_pe_pe_soc","Cov_a_ige","Cov_pe_pe_soc","V_tbv","T2","Data_location","Screener_id","Notes","Second_screener_id","Second_screener_notes","Changes_after_second_screening","Data_transf","Trait_mean_transf","Trait_error_distrib","Estimates_scale_nongauss","Vp_group_formula","Species_name.2","Population2","Group_id","Second_screener_original_decision","Total_v_phen2","Trait_mean2","Reported_values_flag","Excluded_after_control","social_h2","Year_of_Publication","Total_v_phen_calc","Total_v_phen3","Social_h2_calc","Social_h2_2","H2_calc","H2_2","Social_h2_2_Zr","VZr","Social_h2_Zr","H2_2_Zr","I_a","I_ige","V_tbv_calc","V_ige_2","V_tbv_calc_2","V_tbv_2","T2_calc","T2_2","RDSUR","T2_new","R_a_ige_calc","R_a_ige_2","R_a_ige_2_Zr","Species_name.2.phylo"
"IGE0057","123","2012","Litopenaeus vannamei","arthropods","Hainan Higene Aquaculture Technology, Wenchang City, China","captive","experimental","both","ad",NA,4725,4725,100,91,105,2,"body mass","morphology","no",26.88,"no",4.38,NA,"no","yes",45,5.06,0.00395,NA,NA,1.01,1.46,NA,NA,NA,NA,8.18,15.88,0.32,NA,0.02,NA,0.00309,NA,11.63,0.73,"Table 2","FS","info on pedigree (families, dams, sires) is taken only from G1 (gen of experiment); G0 is provided but individuals from G0 were also used for control pop, so to be conservative I only included G1; V other 1 is common env effects, V other 2 is test tank effect (see if any of these can be considered PE? I left PE empty). ","MM","MM: I think the other variance components are not PE by themselves, so I would leave it like that
",NA,"non_transf",NA,"gaussian",NA,"yes","Penaeus vannamei","WenchangCity_CHN","1","Accept",15.88,26.88,NA,NA,NA,2015,15.8125,15.88,0.000248740554156171,0.000248740554156171,0.318639798488665,0.32,0,0.000211774671749259,NA,0.332,0.00700312677154195,5.46686773667801e-06,12.97912,0.00395,12.97912,11.63,0.732367758186398,0.73,5.19596,0.327201511335013,0.0218567041221865,0.02,0.02,"Penaeus vannamei"
"IGE0144","50",NA,"Sus scrofa","mammals",NA,"captive","experimental","both","ad",NA,9871,9871,NA,NA,NA,NA,"carcass weight (CW)","morphology","no",135.1,"yes",10.9,NA,"no","yes",6.1,0.34,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,0.007,0.004,NA,NA,NA,NA,0.52,"Table 2","AST","crossbred Goland heavy pigs used; age unclear from paper but google says that pigs are sexually mature from 5-6 months on;","FS","I think we can consider those values variance standardized (divided by VP) and use direct and social heritability as DGE and IGE, discuss",NA,"non_transf",NA,"gaussian",NA,NA,"Sus scrofa","Gorzagri_IT","2","Revise",1,135.1,NA,NA,NA,2013,1,1,0.007,0.007,0.34,0.34,0.007,0.000101337657073368,0.007,0.354,NA,NA,NA,0.007,NA,NA,NA,0.52,NA,NA,NA,0.004,0.004,"Sus scrofa"
"IGE0144","51",NA,"Sus scrofa","mammals",NA,"captive","experimental","both","ad",NA,4191,4191,NA,NA,NA,NA,"lean meat content (LM)","morphology","no",49.6,"yes",2.7,NA,"no","yes",6.1,0.34,0.004,NA,NA,0.06,0.04,NA,NA,NA,NA,NA,NA,0.34,0.004,-0.598,NA,NA,NA,NA,0.22,"Table 2","AST","crossbred Goland heavy pigs used; age unclear from paper but google says that pigs are sexually mature from 5-6 months on; V other 1 = group id, V other 2 = litter id; all random effects components are provided in Table 2 in proportions (i.e. after dividing by total phenotypic variance), so I have extracted them all and set Variance standardized as Yes","FS","I think we can consider those values variance standardized (divided by VP) and use direct and social heritability as DGE and IGE, discuss","Variance standardized set to Yes and all variance standardize values, which are provided in Table 2, extracted now after agreeing with the other observers","non_transf",NA,"gaussian",NA,NA,"Sus scrofa","Gorzagri_IT","2","Revise",1,49.6,NA,NA,NA,2013,1,1,0.004,0.004,0.34,0.34,0.004,0.000238777459407832,0.004,0.354,NA,NA,NA,0.004,NA,NA,NA,0.22,NA,NA,NA,-0.598,-0.69,"Sus scrofa"
"IGE0144","52",NA,"Sus scrofa","mammals",NA,"captive","experimental","both","ad",NA,9362,9362,NA,NA,NA,NA,"ham round shape score (RS)","morphology","no",1.8,"yes",0.9,NA,"no","yes",6.1,0.34,0.003,NA,NA,0.04,0.02,NA,NA,NA,NA,NA,NA,0.34,0.003,-0.435,NA,NA,NA,NA,0.3,"Table 2","AST","crossbred Goland heavy pigs used; age unclear from paper but google says that pigs are sexually mature from 5-6 months on; V other 1 = group id, V other 2 = litter id; all random effects components are provided in Table 2 in proportions (i.e. after dividing by total phenotypic variance), so I have extracted them all and set Variance standardized as Yes","FS","I think we can consider those values variance standardized (divided by VP) and use direct and social heritability as DGE and IGE, discuss","Variance standardized set to Yes and all variance standardize values, which are provided in Table 2, extracted now after agreeing with the other observers","non_transf",NA,"gaussian",NA,NA,"Sus scrofa","Gorzagri_IT","2","Revise",1,1.8,NA,NA,NA,2013,1,1,0.003,0.003,0.34,0.34,0.003,0.000106849022331446,0.003,0.354,NA,NA,NA,0.003,NA,NA,NA,0.3,NA,NA,NA,-0.435,-0.466,"Sus scrofa"
"IGE0195","46","2005-2010","Sus scrofa","mammals",NA,"captive","experimental","both","ad",NA,4455,4455,295,1146,NA,5,"androstenone level (AND)","metabolism & physiology","no",-0.04812121,"no",0.8754286,NA,"no","yes",6.95,0.355,0.002,NA,NA,0,0.005,0.03,NA,NA,NA,0.22,0.65,NA,NA,0.29,NA,0.008,NA,0.51,0.79,"Table 6","AST","age unclear from paper but seems to covered both stages according to what it written in pg 2471; androstenone was log transformed; Trait mean and Trait SD calculated using values from Table 2 and equations from the Cochrane Handbook of Systematic Reviews of Interventions, but keep in mind that they are in the log scale; V other 1 = group id, V other 2 = compartment id, V other 3 = litter id","FS","not sure that litter can be considered family, discuss and maybe leave NA; ok for estimateing the mean ourselves (because they report it split in the two breeds), but let's keep this note","# families set to NA after discussing it among observers","log","yes","gaussian",NA,"yes","Sus scrofa","PigGenetics_NL","3","Revise",0.65,-0.04812121,NA,NA,NA,2012,NA,0.65,0.00307692307692308,0.00307692307692308,0.546153846153846,0.546153846153846,0.003,0.000224618149146451,NA,0.613,NA,NA,0.521005,0.002,0.521005,0.51,0.784615384615385,0.79,0.4026,0.619384615384615,0.300234650016321,0.29,0.299,"Sus scrofa"
"IGE0195","47","2005-2010","Sus scrofa","mammals",NA,"captive","experimental","both","ad",NA,6200,6200,295,1146,NA,5,"growth rate","development","no",898.9,"no",118.06,NA,"no","yes",6.95,2523,34.9,NA,NA,414.5,1038,1065,NA,NA,NA,6154,11506,NA,NA,-0.16,NA,-46.8,NA,3202,0.28,"Table 6","AST","age unclear from paper but seems to covered both stages according to what it written in pg 2471; V other 1 = group id, V other 2 = compartment id, V other 3 = litter id","FS","not sure that litter can be considered family, discuss and maybe leave NA; ","# families set to NA after discussing it among observers","non_transf",NA,"gaussian",NA,"yes","Sus scrofa","PigGenetics_NL","3","Revise",11506,898.9,NA,NA,NA,2012,NA,11506,0.00303320006952894,0.00303320006952894,0.219276899009213,0.219276899009213,0.003,0.000161368404066484,NA,0.223,0.00312244278835205,4.31919355186233e-05,3201.62725,34.9,3201.62725,3202,0.278289588041022,0.28,2244.54,0.195075612723796,-0.157715549830783,-0.16,-0.161,"Sus scrofa"
"IGE0196","25","1975-2014","Melospiza melodia","birds","Mandarte Island, BC, Canada","wild","observational","F","ad",1088,1040,518,NA,NA,NA,38,"breeding date","reproduction","no",107,"no",13,NA,"yes","yes",2,12.2,3.2,10.8,1e-04,76.4,3.6,NA,NA,NA,NA,58.8,165.2161,0.07,0.02,0.99,NA,NA,NA,NA,0.17,"Table 1","AST","as in IGE0348, pedigree from 1975-1992 neglects EPP because social data was used and seemingly only some recruits were also genetically id; authors do not specifically define who is the focal sex, but since they use breeding date, sex assigned to female; fixed eff of partner trait = male inbreeding coefficient and age; multiple spatial models, I chose the """"Grid"""" model simply because of showing the lowest residual variance; V other 1 = year, V other 2 = location","MM","MM: 1) authors state 1975-2014 as actual study years, I think I'd go with that, 2) pedigree depth is not given, 38 years is the total number of study years. 3) to consider that there is info in h2 male","Years changed to 1975-2014","non_transf",NA,"gaussian",NA,NA,"Melospiza melodia","MandarteIsland_CAN","4","Revise",165.2161,107,NA,NA,NA,2016,174.285714285714,165.2161,0.0193685724333161,0.02,0.0738426824020177,0.07,0.02,0.00194174757281553,0.02,0.07,0.00106559524849332,0.000279500393047428,NA,3.2,NA,NA,NA,0.17,NA,NA,NA,0.99,2.647,"Melospiza melodia"
"IGE0197","117",NA,"Tribolium castaneum","arthropods","Wageningen, the Netherlands.","captive","experimental","both","juv",5987,4932,4932,2657,2657,126,3,"growth rate","development","no",2.32,"no",0.5,NA,"yes","yes",10,5.47e-05,1.25e-07,NA,NA,2.74e-06,NA,NA,NA,NA,NA,NA,0.000109,NA,NA,-0.201,NA,-5.27e-07,NA,5.53e-05,0.51,"Table 6 (model 3)","FS","#id w records is conservative (reported 5687 id with incomplete records in 3 traits, and 4932 with all); id in pedigree are reported in supmat but methods also say they include id with no pedigree, so not sure; means and SD for traits are reported in table 2 for the two pop separately; fixed effect of social is social sex effect (# male partners in vial); V other 1 is group; heritability is estimated in a different model (model 2)","DF","group size = mostly 10. Depth of ped = 3 perhaps, see Table A1. id in ped = 5987 based on summing numbers in Table A1. Also have # sires as 2657 and # dams as 2657. Don't think we should use the h2 est from table 5 as it is a different model.  cov A-IGE is -0.000000527, r A-IGE is -0.201 (Table 6).","updated group size, depth of ped, # id in ped, sires, dams,  cov A-IGE and r A-IGE, h2 set to NA, mean and SD of pop trait estimated from the two separated by pop ","non_transf",NA,"gaussian",NA,NA,"Tribolium castaneum","Wageningen_NL","5","Revise",0.000109,2.32,NA,NA,NA,2016,NA,0.000109,0.00114678899082569,0.00114678899082569,0.501834862385321,0.501834862385321,0.001,0.000202880908906472,NA,0.552,1.01627526753864e-05,2.3223840665874e-08,5.5339e-05,1.25e-07,5.5339e-05,5.53e-05,0.507339449541284,0.51,4.9957e-05,0.458321100917431,-0.201540320814662,-0.201,-0.204,"Tribolium castaneum"
"IGE0202","106","1998-2013","Sus scrofa","mammals","Goland sire line, Gorzagri, Italy","captive","experimental","both","ad",NA,9871,9871,293,456,1839,6,"body weight 270 days","morphology","no",164.2,"no",13.3,NA,"no","yes",6.12,60.205,1.28,NA,NA,3.527,8.292,NA,NA,NA,NA,96.631,NA,0.343,0.007,0,NA,0.152,NA,95.068,0.542,"Tables 1, 3-6","DF","V other 1 is group (pen), V other 2 is family (litter). Give indirect heritability as 0.007.","FS","the correlation between direct and social additive genetic effects (data not reported in tables) was not significantly different from 0 (P > 0.05) for BW270, so we could replace the NA; note that heritability here is direct, they also report social heritability (that should match the var IGE/VP","Changed r DGE-IGE to 0. Added note about indirect heritability","non_transf",NA,"gaussian",NA,"yes","Sus scrofa","Gorzagri_IT","7","Revise",NA,164.2,NA,NA,NA,2015,175.524781341108,175.524781341108,0.00729241757329126,0.007,0.343,0.343,0.007,0.000101337657073368,0.007,0.357,0.00223298731086091,4.74748568707245e-05,95.315912,1.28,95.315912,95.068,0.541621526451291,0.542,60.98324,0.347433789884561,0.0173149930974465,0,0,"Sus scrofa"
"IGE0202","107","1998-2013","Sus scrofa","mammals","Goland sire line, Gorzagri, Italy","captive","experimental","both","ad",NA,8343,8343,293,456,1557,6,"carcasss backfat depth","morphology","no",27,"no",5,NA,"no","yes",6.12,7.015,0.014,NA,NA,1.022,0.746,NA,NA,NA,NA,12.49,NA,0.332,0.001,NA,NA,-0.119,NA,6.156,0.292,"Tables 1, 3-6","DF","V other 1 is group (pen), V other 2 is family (litter). Report indirect heritablity as 0.001","FS","note that heritability here is direct, they also report social heritability (that should match the var IGE/VP","Added note about indirect heritability and entered value into social heritability","non_transf",NA,"gaussian",NA,"yes","Sus scrofa","Gorzagri_IT","7","Accept",NA,27,NA,NA,NA,2015,21.1295180722892,21.1295180722892,0.000662580185317178,0.001,0.332,0.332,0.001,0.000119904076738609,0.001,0.345,0.00962277091906722,1.92043895747599e-05,6.1634416,0.014,6.1634416,6.156,0.291345972915182,0.292,6.40572,0.303164510334996,-0.379724925761368,-0.379724925761368,-0.4,"Sus scrofa"
