"key","title","authors","journal","issn","volume","issue","pages","year","publisher","url","abstract"
"Whitham20055","""All effects of a gene on the world"": Extended phenotypes, feedbacks, and multi-level selection","Whitham, T.G. and Lonsdorf, E. and Schweitzer, J.A. and Bailey, J.K. and Fischer, D.G. and Shuster, S.M. and Lindroth, R.L. and Hart, S.C. and Allan, G.J. and Gehring, C.A. and Keim, P. and Potts, B.M. and Marks, J. and Rehill, B.J. and DiFazio, S.P. and LeRoy, C.J. and Wimp, G.M. and Woolbright, S.","Ecoscience","11956860","12","1","5-7",2005,"",NA,NA
"Ghafouri.Kesbi2013564","(Co)variance components and genetic parameters for growth rate and Kleiber ratio in fat-tailed Mehraban sheep","Ghafouri-Kesbi, F.","Archives Animal Breeding","00039438","56","1","564-572",2013,"","10.7482/0003-9438-56-055","The aim of the present study was to estimate (co)variance components and genetic parameters for average daily gain from birth to weaning (ADGa), weaning to 6 months (ADGb), weaning to 9 months (ADGc), 6 months to 9 months (ADGd) and corresponding Kleiber ratios (KRa, KRb, KRc and KRd) in Mehraban sheep. A derivative-free algorithm combined with a series of six univariate linear animal models was used to estimate phenotypic variance and its direct, maternal and residual components. In addition, bivariate analyses were done to estimate (co)variance components between traits. Estimates of direct heritability (h2) were 0.10, 0.11, 0.16, 0.09, 0.13, 0.13, 0.15 and 0.08 for ADGa, ADGb, ADGc, ADGd, KRa, KRb, KRc and KRd, respectively and indicate that in Mehraban sheep genes contribute very little to the variance of the growth rate and Kleiber ratio. Estimates of maternal heritability (m2) were 0.10, 0.08 and 0.05 for ADGa, KRa and KRb, respectively. Direct additive genetic correlations ranged from -0.32 (KRa-KRd) to 0.99 (ADGb-KRb) and phenotypic correlations ranged from -0.53 (ADGa- ADGd) to 0.99 (ADGa-KRa). Estimates of direct heritability and genetic correlations show that genetic improvement in efficiency of feed utilization through selection programmes is possible, though it would generate a relatively slow genetic progress.  2013 Copernicus GmbH. All rights reserved."
"Townley20131234","A G matrix analogue to capture the cumulative effects of nongenetic inheritance","Townley, S. and Ezard, T.H.G.","Journal of Evolutionary Biology","1010061X","26","6","1234-1243",2013,"","10.1111/jeb.12089","The genetic variance-covariance (G) matrix describes the variances and covariances of genetic traits under strict genetic inheritance. Genetically expressed traits often influence trait expression in another via nongenetic forms of transmission and inheritance, however. The importance of non-genetic influences on phenotypic evolution is increasingly clear, but how genetic and nongenetic inheritance interact to determine the response to selection is not well understood. Here, we use the 'reachability matrix' - a key analytical tool of geometric control theory - to integrate both forms of inheritance, capturing how the consequences of generation-lagged maternal effects accumulate. Building on the classic Lande and Kirkpatrick model that showed how nongenetic (maternal) inheritance fundamentally alters the expected path of phenotypic evolution, we make novel inferences through decomposition of the reachability matrix. In particular, we quantify how nongenetic inheritance affects the distribution (orientation and shape) of ellipses of phenotypic change and how these distributions influence subsequent evolution. This interweaving of phenotypic means and variances accumulates generation by generation and is described analytically by the reachability matrix, which acts as an analogue of G when genetic and nongenetic inheritance both act.  2013 European Society For Evolutionary Biology."
"X.ISI.000298412100018","A General Definition of the Heritable Variation That Determines the Potential of a Population to Respond to Selection","Bijma, Piter","GENETICS","0016-6731","189","4","1347-1359",2011,"GENETICS SOC AM","10.1534/genetics.111.130617","Genetic selection is a major force shaping life on earth. In classical genetic theory, response to selection is the product of the strength of selection and the additive genetic variance in a trait. The additive genetic variance reflects a population's intrinsic potential to respond to selection. The ordinary additive genetic variance, however, ignores the social organization of life. With social interactions among individuals, individual trait values may depend on genes in others, a phenomenon known as indirect genetic effects. Models accounting for indirect genetic effects, however, lack a general definition of heritable variation. Here I propose a general definition of the heritable variation that determines the potential of a population to respond to selection. This generalizes the concept of heritable variance to any inheritance model and level of organization. The result shows that heritable variance determining potential response to selection is the variance among individuals in the heritable quantity that determines the population mean trait value, rather than the usual additive genetic component of phenotypic variance. It follows, therefore, that heritable variance may exceed phenotypic variance among individuals, which is impossible in classical theory. This work also provides a measure of the utilization of heritable variation for response to selection and integrates two well-known models of maternal genetic effects. The result shows that relatedness between the focal individual and the individuals affecting its fitness is a key determinant of the utilization of heritable variance for response to selection."
"X.ISI.000292917900001","A Unified Approach to the Evolutionary Consequences of Genetic and Nongenetic Inheritance","Day, Troy and Bonduriansky, Russell","AMERICAN NATURALIST","0003-0147","178","2","E18-E36",2011,"UNIV CHICAGO PRESS","10.1086/660911","Inheritance-the influence of ancestors on the phenotypes of their descendants-translates natural selection into evolutionary change. For the past century, inheritance has been conceptualized almost exclusively as the transmission of DNA sequence variation from parents to offspring in accordance with Mendelian rules, but advances in cell and developmental biology have now revealed a rich array of inheritance mechanisms. This empirical evidence calls for a unified conception of inheritance that combines genetic and nongenetic mechanisms and encompasses the known range of transgenerational effects, including the transmission of genetic and epigenetic variation, the transmission of plastic phenotypes (acquired traits), and the effects of parental environment and genotype on offspring phenotype. We propose a unified theoretical framework based on the Price equation that can be used to model evolution under an expanded inheritance concept that combines the effects of genetic and nongenetic inheritance. To illustrate the utility and generality of this framework, we show how it can be applied to a variety of scenarios, including nontransmissible environmental noise, maternal effects, indirect genetic effects, transgenerational epigenetic inheritance, RNA-mediated inheritance, and cultural inheritance."
"Foley2015797","A bayesian approach to social structure uncovers cryptic regulation of group dynamics in Drosophila melanogaster","Foley, B.R. and Saltz, J.B. and Nuzhdin, S.V. and Marjoram, P.","American Naturalist","00030147","185","6","797-808",2015,"","10.1086/681084","Understanding the mechanisms that give rise to social structure is central to predicting the evolutionary and ecological outcomes of social interactions. Modeling this process is challenging, because all individuals simultaneously behave in ways that shape their social environmentsa process called social niche construction (SNC). In earlier work, we demonstrated that aggression acts as an SNC trait in fruit flies (Drosophila melanogaster), but the mechanisms of that process remained cryptic. Here, we analyze how individual social group preferences generate overall social structure. We use a combination of agent-based simulation and approximate Bayesian computation to fit models to empirical data. We confirm that genetic variation in aggressive behavior influences social group structure. Furthermore, we find that female decamping due to male behavior may play an underappreciated role in structuring social groups. Male-male aggression may sometimes destabilize groups, but it may also be an SNC behavior for shaping desirable groups for females. Density intensifies female social preferences; thus, the role of female behavior in shaping group structure may become more important at high densities. Our ability to model the ontogeny of group structure demonstrates the utility of the Bayesian modelbased approach in social behavioral studies.  2015 by The University of Chicago. All rights reserved."
"X.ISI.000242904600002","A cautionary Tale of Two Matrices: the duality of multivariate abstraction","Brodie, III, E. D. and McGlothlin, J. W.","JOURNAL OF EVOLUTIONARY BIOLOGY","1010-061X","20","1","9-14",2007,"BLACKWELL PUBLISHING","10.1111/j.1420-9101.2006.01219.x",NA
"Dowling20072113","A comparison of nuclear and cytoplasmic genetic effects on sperm competitiveness and female remating in a seed beetle","Dowling, D.K. and Friberg, U. and Arnqvist, G.","Journal of Evolutionary Biology","1010061X","20","6","2113-2125",2007,"","10.1111/j.1420-9101.2007.01433.x","It is widely assumed that male sperm competitiveness evolves adaptively. However, recent studies have found a cytoplasmic genetic component to phenotypic variation in some sperm traits presumed important in sperm competition. As cytoplasmic genes are maternally transmitted, they cannot respond to selection on sperm and this constraint may affect the scope in which sperm competitiveness can evolve adaptively. We examined nuclear and cytoplasmic genetic contributions to sperm competitiveness, using populations of Callosobruchus maculatus carrying orthogonal combinations of nuclear and cytoplasmic lineages. Our design also enabled us to examine genetic contributions to female remating. We found that sperm competitiveness and remating are primarily encoded by nuclear genes. In particular, a male's sperm competitiveness phenotype was contingent on an interaction between the competing male genotypes. Furthermore, cytoplasmic effects were detected on remating but not sperm competitiveness, suggesting that cytoplasmic genes do not generally play a profound evolutionary role in sperm competition.  2007 The Authors."
"Hunt20121","A conceptual model for the origin of worker behaviour and adaptation of eusociality","Hunt, J.H.","Journal of Evolutionary Biology","1010061X","25","1","1-19",2012,"","10.1111/j.1420-9101.2011.02421.x","In a model based on the wasp family Vespidae, the origin of worker behaviour, which constitutes the eusociality threshold, is not based on relatedness, therefore the origin of eusociality does not depend on inclusive fitness, and workers at the eusociality threshold are not altruistic. Instead, incipient workers and queens behave selfishly and are subject to direct natural selection. Beyond the eusociality threshold, relatedness enables 'soft inheritance' as the framework for initial adaptations of eusociality. At the threshold of irreversibility, queen and worker castes become fixed in advanced eusociality. Transitions from solitary to facultative, facultative to primitive, and primitive to advanced eusociality occur via exaptation, phenotypic accommodation and genetic assimilation. Multilevel selection characterizes the solitary to highly eusocial transition, but components of multilevel selection vary across levels of eusociality. Roles of behavioural flexibility and developmental plasticity in the evolutionary process equal or exceed those of genotype.  2011 The Author. Journal of Evolutionary Biology  2011 European Society For Evolutionary Biology."
"Hendry201984","A critique for eco-evolutionary dynamics","Hendry, A.P.","Functional Ecology","02698463","33","1","84-94",2019,"","10.1111/1365-2435.13244","A growing body of empirical work supports and informs the role of genetic variation and contemporary evolution in shaping ecological dynamics at the population, community and ecosystem levels. Although much progress has been made, I contend that reliance on several common empirical and inferential approaches is limiting forward progress in key areas, which leads me to several suggestions. More studies should focus on revealing eco-evolutionary dynamics as they play out in the real world, as opposed to laboratories and mesocosms. At the community and ecosystem levels, increasing effort should be directed towards the importance of evolution acting through population density, as opposed to only direct per-capita effects. More work should be directed towards the effects of whole-community evolution, as opposed to the evolution of only particular focal species. New and innovative approaches are needed for studying how natural selection resists evolutionary and ecological change, thus generating cryptic eco-evolutionary dynamics. Although simultaneous improvement on all of these fronts is perhaps impossible for any single research programme, even advances in one or more areas could dramatically improve our understanding of the prevalence, power and relevance of eco-evolutionary dynamics. A plain language summary is available for this article.  2018 The Author. Functional Ecology  2018 British Ecological Society"
